Fall 2001,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,6249,7.3%,342,-3.4%,362,-2.9%,,,6953,6.1%,
Gender,Male,2414,11.4%,168,-1.2%,215,-4.0%,,,2797,9.2%,
,Female,3835,4.9%,174,-5.4%,147,-1.3%,,,4156,4.2%,
Ethnic,White,5160,8.2%,225,-6.6%,244,-1.6%,,,5629,7.1%,
Origin,Black,162,3.8%,4,-50.0%,6,20.0%,,,172,1.8%,
,Hispanic,632,4.8%,27,17.4%,18,0.0%,,,677,5.1%,
,Asian,142,12.7%,7,0.0%,3,-57.1%,,,152,8.6%,
,American Indian,34,6.3%,0,-100.0%,2,100.0%,,,36,5.9%,
,International,29,-17.1%,72,18.0%,82,-5.7%,,,183,0.0%,
,Unknown/Other,90,-13.5%,7,-46.2%,7,0.0%,,,104,-16.1%,
TAMU Age,<18,6,-14.3%,,,,,,,6,-14.3%,
Categories,18-21,4366,9.4%,4,-42.9%,,,,,4370,9.3%,
,22-25,1701,5.1%,150,-2.6%,18,-25.0%,,,1869,4.0%,
,26-30,102,-18.4%,98,-2.0%,131,0.0%,,,331,-7.0%,
,31-39,50,-13.8%,56,-8.2%,144,1.4%,,,250,-4.2%,
,40+,24,0.0%,34,6.3%,69,-9.2%,,,127,-3.8%,
Enrollment,1st Time in College,735,-0.1%,,,,,,,735,-0.1%,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,111,-3.5%,38,-17.4%,,,149,-7.5%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,323,-11.7%,,,,,,,323,-11.7%,
,Re Admitted,97,-23.6%,2,100.0%,,,,,99,-22.0%,
,Continuing,5094,10.9%,229,-4.2%,324,-0.9%,,,5647,9.4%,
Tuition,Resident Tuition,5995,7.8%,162,-3.0%,160,-2.4%,,,6317,7.2%,
Status,Non-Resident Tuition,149,5.7%,51,-3.8%,66,-5.7%,,,266,0.8%,
,Tuition Exemption/Waiver,105,-13.9%,129,-3.7%,136,-2.2%,,,370,-6.3%,
Residency,Texas Resident,6006,8.0%,162,-3.0%,160,-3.0%,,,6328,7.4%,
Status,"Non-TX, US Resident",213,-6.6%,108,-14.3%,119,-1.7%,,,440,-7.4%,
,"Non-TX, Non-US Resident",30,-14.3%,72,18.0%,83,-4.6%,,,185,1.1%,
SCH,< 6 SCH,71,2.9%,75,11.9%,140,-9.1%,,,286,-1.4%,
Categories,6-8 SCH,151,15.3%,20,-42.9%,14,27.3%,,,185,4.5%,
,9-11 SCH,335,24.1%,213,1.4%,186,0.5%,,,734,10.4%,
,12-14 SCH,3686,6.3%,32,-20.0%,21,-8.7%,,,3739,6.0%,
,15-17 SCH,1867,6.9%,2,0.0%,1,100.0%,,,1870,6.9%,
,>17 SCH,139,-1.4%,,,,,,,139,-1.4%,
Ft/Pt:,Less Than Half Time,64,-7.2%,67,15.5%,108,-14.3%,,,239,-5.5%,
"TAMU
Status",Half-Time,"149
332","13.7%
23.0%",28,-36.4%,46,17.9%,,,"223
332","4.2%
23.0%",
,Full-Time,5704,6.5%,247,-2.0%,208,0.0%,,,6159,5.9%,
"Prepared by OISP, 11 Oct 01",,,,,,,,,,,,
