Fall 2001,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,1854,-1.7%,312,8.3%,331,-2.4%,,,2497,-0.7%,
Gender,Male,722,-4.7%,202,11.0%,228,-3.4%,,,1152,-2.0%,
,Female,1132,0.3%,110,3.8%,103,0.0%,,,1345,0.5%,
Ethnic,White,1406,-2.0%,139,3.0%,128,0.0%,,,1673,-1.4%,
Origin,Black,62,17.0%,5,0.0%,3,-50.0%,,,70,9.4%,
,Hispanic,214,-4.5%,16,60.0%,8,60.0%,,,238,-0.4%,
,Asian,118,-2.5%,9,-30.8%,9,50.0%,,,136,-2.9%,
,American Indian,6,200.0%,,,2,0.0%,,,8,100.0%,
,International,13,44.4%,140,15.7%,179,-6.3%,,,332,3.4%,
,Unknown/Other,35,-20.5%,3,-25.0%,2,100.0%,,,40,-18.4%,
TAMU Age,<18,12,33.3%,,,,,,,12,33.3%,
Categories,18-21,1547,1.8%,10,25.0%,0,-100.0%,,,1557,1.9%,
,22-25,258,-21.3%,175,14.4%,58,-1.7%,,,491,-9.1%,
,26-30,24,50.0%,73,-11.0%,172,-3.9%,,,269,-2.9%,
,31-39,7,-12.5%,42,40.0%,88,0.0%,,,137,8.7%,
,40+,6,-14.3%,12,-20.0%,13,8.3%,,,31,-8.8%,
Enrollment,1st Time in College,504,-11.1%,,,,,,,504,-11.1%,
Status,1st Time PB,2,100.0%,,,,,,,2,100.0%,
,1st Time Graduate,,,128,10.3%,17,-43.3%,,,145,-0.7%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,121,-21.9%,,,,,,,121,-21.9%,
,Re Admitted,23,21.1%,1,100.0%,2,100.0%,,,26,36.8%,
,Continuing,1204,5.2%,183,6.4%,312,1.0%,,,1699,4.5%,
Tuition,Resident Tuition,1750,-0.5%,92,-1.1%,60,13.2%,,,1902,-0.1%,
Status,Non-Resident Tuition,51,-1.9%,21,10.5%,38,-9.5%,,,110,-2.7%,
,Tuition Exemption/Waiver,53,-31.2%,199,13.1%,233,-4.5%,,,485,-2.4%,
Residency,Texas Resident,1753,-0.4%,94,1.1%,62,17.0%,,,1909,0.2%,
Status,"Non-TX, US Resident",88,-24.1%,77,4.1%,87,-8.4%,,,252,-11.6%,
,"Non-TX, Non-US Resident",13,18.2%,141,16.5%,182,-4.7%,,,336,4.0%,
SCH,< 6 SCH,9,-10.0%,26,-16.1%,36,12.5%,,,71,-2.7%,
Categories,6-8 SCH,22,-35.3%,13,116.7%,3,50.0%,,,38,-9.5%,
,9-11 SCH,41,-12.8%,240,8.6%,286,-2.7%,,,567,0.9%,
,12-14 SCH,1277,0.2%,31,6.9%,6,-25.0%,,,1314,0.2%,
,15-17 SCH,487,-3.6%,2,100.0%,0,-100.0%,,,489,-3.7%,
,>17 SCH,18,5.9%,0,-100.0%,,,,,18,0.0%,
Ft/Pt:,Less Than Half Time,7,-30.0%,25,-10.7%,33,13.8%,,,65,-3.0%,
"TAMU
Status",Half-Time,"22
38","-35.3%
-19.1%",14,55.6%,6,20.0%,,,"42
38","-12.5%
-19.1%",
,Full-Time,1787,-0.5%,273,8.8%,292,-4.3%,,,2352,0.0%,
"Prepared by OISP, 11 Oct 01",,,,,,,,,,,,
