Fall 2001,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,5320,4.7%,647,1.1%,502,0.8%,,,6469,4.0%,
Gender,Male,2792,4.1%,337,10.5%,324,0.0%,,,3453,4.3%,
,Female,2528,5.3%,310,-7.5%,178,2.3%,,,3016,3.7%,
Ethnic,White,4596,5.3%,458,-0.4%,261,-3.3%,,,5315,4.3%,
Origin,Black,120,9.1%,7,40.0%,2,-33.3%,,,129,9.3%,
,Hispanic,357,0.3%,26,13.0%,19,0.0%,,,402,1.0%,
,Asian,71,-10.1%,12,-14.3%,14,40.0%,,,97,-5.8%,
,American Indian,31,34.8%,1,0.0%,,,,,32,33.3%,
,International,59,1.7%,135,2.3%,198,5.3%,,,392,3.7%,
,Unknown/Other,86,-7.5%,8,60.0%,8,0.0%,,,102,-3.8%,
TAMU Age,<18,3,50.0%,,,,,,,3,50.0%,
Categories,18-21,3140,2.6%,5,-16.7%,,,,,3145,2.5%,
,22-25,1950,8.3%,373,-1.1%,33,-5.7%,,,2356,6.5%,
,26-30,160,15.9%,164,2.5%,193,3.8%,,,517,6.8%,
,31-39,45,-19.6%,75,10.3%,200,5.3%,,,320,1.9%,
,40+,22,-12.0%,30,3.4%,76,-12.6%,,,128,-9.2%,
Enrollment,1st Time in College,503,-7.4%,,,,,,,503,-7.4%,
Status,1st Time PB,9,-10.0%,,,,,,,9,-10.0%,
,1st Time Graduate,,,189,-5.0%,57,-20.8%,,,246,-9.2%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,429,9.4%,0,-100.0%,,,,,429,9.2%,
,Re Admitted,148,5.0%,4,100.0%,1,100.0%,,,153,8.5%,
,Continuing,4231,5.9%,454,3.2%,444,4.2%,,,5129,5.5%,
Tuition,Resident Tuition,5057,4.7%,367,6.1%,173,-2.8%,,,5597,4.5%,
Status,Non-Resident Tuition,142,11.8%,65,-15.6%,85,-15.0%,,,292,-3.9%,
,Tuition Exemption/Waiver,121,-3.2%,215,-0.9%,244,10.9%,,,580,3.2%,
Residency,Texas Resident,5060,4.7%,368,6.4%,173,-3.9%,,,5601,4.6%,
Status,"Non-TX, US Resident",198,2.6%,143,-11.7%,130,2.4%,,,471,-2.3%,
,"Non-TX, Non-US Resident",62,5.1%,136,3.0%,199,4.2%,,,397,3.9%,
SCH,< 6 SCH,74,-11.9%,127,3.3%,120,-16.7%,,,321,-8.5%,
Categories,6-8 SCH,186,16.2%,32,6.7%,20,-28.6%,,,238,9.2%,
,9-11 SCH,268,17.5%,442,1.1%,346,12.7%,,,1056,8.6%,
,12-14 SCH,3215,4.6%,41,-6.8%,14,-17.6%,,,3270,4.3%,
,15-17 SCH,1461,4.4%,5,0.0%,1,0.0%,,,1467,4.3%,
,>17 SCH,116,-14.7%,0,-100.0%,1,0.0%,,,117,-15.2%,
Ft/Pt:,Less Than Half Time,69,-17.9%,108,0.9%,108,-16.3%,,,285,-10.9%,
"TAMU
Status",Half-Time,"174
264","8.7%
15.8%",51,10.9%,33,-23.3%,,,"258
264","3.6%
15.8%",
,Full-Time,4813,4.4%,488,0.2%,361,10.7%,,,5662,4.4%,
"Prepared by OISP, 11 Oct 01",,,,,,,,,,,,
