Fall 2001,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,3089,5.7%,559,9.8%,628,-1.4%,,,4276,5.1%,
Gender,Male,554,4.5%,153,14.2%,218,-9.2%,,,925,2.3%,
,Female,2535,6.0%,406,8.3%,410,3.3%,,,3351,5.9%,
Ethnic,White,2736,4.9%,412,10.8%,420,-3.2%,,,3568,4.5%,
Origin,Black,51,27.5%,36,28.6%,66,-7.0%,,,153,10.1%,
,Hispanic,216,6.9%,61,-1.6%,85,3.7%,,,362,4.6%,
,Asian,24,26.3%,4,-33.3%,5,0.0%,,,33,10.0%,
,American Indian,20,53.8%,3,0.0%,1,-75.0%,,,24,20.0%,
,International,7,40.0%,35,12.9%,42,31.3%,,,84,23.5%,
,Unknown/Other,35,-2.8%,8,14.3%,9,0.0%,,,52,0.0%,
TAMU Age,<18,1,-66.7%,,,,,,,1,-66.7%,
Categories,18-21,2022,8.8%,2,100.0%,,,,,2024,8.9%,
,22-25,974,1.2%,178,10.6%,21,23.5%,,,1173,2.9%,
,26-30,54,-14.3%,125,5.0%,106,-7.0%,,,285,-3.7%,
,31-39,27,8.0%,112,28.7%,195,3.7%,,,334,11.3%,
,40+,11,0.0%,142,0.7%,306,-3.8%,,,459,-2.3%,
Enrollment,1st Time in College,293,-3.6%,,,,,,,293,-3.6%,
Status,1st Time PB,2,-50.0%,,,,,,,2,-50.0%,
,1st Time Graduate,,,150,11.9%,58,-20.5%,,,208,0.5%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,296,-3.0%,,,,,,,296,-3.0%,
,Re Admitted,37,2.8%,1,100.0%,6,100.0%,,,44,22.2%,
,Continuing,2461,8.3%,408,8.8%,564,0.0%,,,3433,6.9%,
Tuition,Resident Tuition,3013,5.9%,460,7.5%,529,-2.0%,,,4002,4.9%,
Status,Non-Resident Tuition,49,2.1%,47,46.9%,41,17.1%,,,137,19.1%,
,Tuition Exemption/Waiver,27,-3.6%,52,6.1%,58,-6.5%,,,137,-1.4%,
Residency,Texas Resident,3014,5.9%,465,8.6%,530,-2.0%,,,4009,5.1%,
Status,"Non-TX, US Resident",68,-2.9%,59,18.0%,56,-12.5%,,,183,-0.5%,
,"Non-TX, Non-US Resident",7,40.0%,35,12.9%,42,31.3%,,,84,23.5%,
SCH,< 6 SCH,34,36.0%,180,-2.2%,299,-1.3%,,,513,0.2%,
Categories,6-8 SCH,163,-8.4%,169,26.1%,67,-34.3%,,,399,-3.6%,
,9-11 SCH,205,-5.1%,148,22.3%,210,18.6%,,,563,9.5%,
,12-14 SCH,1667,4.1%,59,-14.5%,44,-6.4%,,,1770,3.0%,
,15-17 SCH,919,14.0%,3,200.0%,7,-12.5%,,,929,14.0%,
,>17 SCH,101,6.3%,,,1,100.0%,,,102,7.4%,
Ft/Pt:,Less Than Half Time,33,32.0%,149,-5.1%,250,-2.7%,,,432,-1.6%,
"TAMU
Status",Half-Time,"66
101","-62.9%
-53.2%",199,23.6%,116,-21.6%,,,"381
101","-21.8%
-53.2%",
,Full-Time,2889,15.4%,211,10.5%,262,12.9%,,,3362,14.9%,
"Prepared by OISP, 11 Oct 01",,,,,,,,,,,,
