Fall 2001,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Geosciences,ATMO,30,57.9%,5,400.0%,1,100.0%,1,-66.7%,1,-50.0%,10,-9.1%,3,200.0%,44,41.9%,
,ESCI,14,0.0%,,,2,0.0%,,,,,,,,,16,0.0%,
,GEOG,154,-3.8%,,,17,13.3%,,,,,6,50.0%,1,100.0%,185,0.0%,
,GEOL,128,-8.6%,0,-100.0%,10,-16.7%,3,0.0%,1,0.0%,30,-9.1%,2,-50.0%,174,-10.3%,
,GEOP,25,0.0%,0,-100.0%,1,0.0%,1,100.0%,1,0.0%,28,-17.6%,1,0.0%,57,-9.5%,
,GEOS,3,200.0%,,,,,,,,,1,100.0%,,,4,300.0%,
,METR,145,-5.2%,1,0.0%,6,-25.0%,3,200.0%,2,100.0%,5,-50.0%,0,-100.0%,162,-8.5%,
,OCNG,51,6.3%,,,1,-50.0%,1,0.0%,,,27,8.0%,1,-66.7%,81,2.5%,
,Subtotal,550,-1.8%,6,50.0%,38,-5.0%,9,12.5%,5,25.0%,107,-8.5%,8,-38.5%,723,-3.1%,
G. Bush School,BUSH,49,14.0%,3,50.0%,6,100.0%,1,-50.0%,1,100.0%,2,0.0%,1,100.0%,63,21.2%,
of Govt,Subtotal,49,14.0%,3,50.0%,6,100.0%,1,-50.0%,1,100.0%,2,0.0%,1,100.0%,63,21.2%,
Liberal Arts,AMST,5,100.0%,,,,,,,,,,,,,5,100.0%,
,ANTH,191,4.4%,1,100.0%,24,41.2%,5,0.0%,1,100.0%,13,8.3%,2,-71.4%,237,5.8%,
,ANTL,0,-100.0%,,,,,,,,,,,,,0,-100.0%,
,ECOL,,,,,,,,,,,0,-100.0%,,,0,-100.0%,
,ECON,505,30.5%,8,0.0%,42,-4.5%,19,18.8%,2,-50.0%,81,-2.4%,13,62.5%,670,21.8%,
,ENGL,583,-2.5%,11,22.2%,47,-11.3%,5,-16.7%,3,200.0%,23,9.5%,10,0.0%,682,-2.3%,
,ENLL,0,-100.0%,,,,,,,,,,,,,0,-100.0%,
,FREN,14,16.7%,1,0.0%,0,-100.0%,,,,,,,,,15,7.1%,
,GERM,7,16.7%,,,,,1,0.0%,1,0.0%,,,0,-100.0%,9,0.0%,
,HIST,478,2.6%,11,0.0%,61,8.9%,7,-12.5%,6,50.0%,1,100.0%,10,-37.5%,574,2.3%,
,INTL,0,-100.0%,,,,,,,,,,,,,0,-100.0%,
,INTS,199,13.7%,8,0.0%,46,2.2%,10,-9.1%,,,2,-33.3%,2,-33.3%,267,9.0%,
,JOUL,3,-25.0%,,,3,200.0%,,,,,,,0,-100.0%,6,0.0%,
,JOUR,678,-2.0%,24,-11.1%,65,1.6%,14,0.0%,4,0.0%,2,100.0%,11,0.0%,798,-1.8%,
,MODL,6,0.0%,,,4,33.3%,,,,,4,33.3%,,,14,16.7%,
,MOLL,0,-100.0%,,,0,-100.0%,,,,,,,,,0,-100.0%,
,MUSC,5,100.0%,1,100.0%,2,100.0%,,,,,,,,,8,100.0%,
,PHIL,89,25.4%,,,5,25.0%,5,25.0%,,,0,-100.0%,5,0.0%,104,20.9%,
,POLL,1,0.0%,,,0,-100.0%,,,,,,,,,1,-50.0%,
,POLS,749,13.1%,23,4.5%,94,16.0%,12,33.3%,7,75.0%,12,-14.3%,11,0.0%,908,13.1%,
,PSYC,1157,5.5%,55,10.0%,157,0.0%,50,16.3%,7,-22.2%,11,10.0%,21,-22.2%,1458,4.7%,
,PSYL,0,-100.0%,,,0,-100.0%,,,,,,,,,0,-100.0%,
,RUSS,7,16.7%,,,,,,,,,,,1,0.0%,8,14.3%,
,SCOL,0,-100.0%,,,0,-100.0%,,,,,,,,,0,-100.0%,
,SCOM,637,13.3%,17,-5.6%,65,38.3%,14,40.0%,5,25.0%,6,100.0%,13,-23.5%,757,14.5%,
,SOCI,224,2.3%,10,-23.1%,34,13.3%,10,0.0%,0,-100.0%,22,-8.3%,4,0.0%,304,1.0%,
,SOCL,0,-100.0%,,,,,,,,,,,,,0,-100.0%,
,SPAN,42,-10.6%,,,15,-31.8%,0,-100.0%,0,-100.0%,1,0.0%,0,-100.0%,58,-20.5%,
,STJR,7,-30.0%,,,0,-100.0%,0,-100.0%,0,-100.0%,5,0.0%,0,-100.0%,12,-40.0%,
,TCMS,4,100.0%,,,1,100.0%,,,,,,,1,100.0%,6,100.0%,
,THAR,38,-7.3%,2,0.0%,12,9.1%,0,-100.0%,,,,,,,52,-5.5%,
,Subtotal,5629,7.1%,172,1.8%,677,5.1%,152,8.6%,36,5.9%,183,0.0%,104,-16.1%,6953,6.1%,
"Prepared by OISP, 11 Oct 01",,,,,,,,,,,,,,,,,,
