Fall 2001,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,7628,-1.3%,1246,-1.7%,728,-0.4%,,,9602,-1.3%,
Gender,Male,6097,-1.2%,1016,0.8%,630,-0.6%,,,7743,-0.9%,
,Female,1531,-1.9%,230,-11.2%,98,1.0%,,,1859,-3.0%,
Ethnic,White,5735,-0.9%,225,-11.8%,112,-19.4%,,,6072,-1.8%,
Origin,Black,208,-8.4%,9,12.5%,9,0.0%,,,226,-7.4%,
,Hispanic,795,1.1%,28,-3.4%,6,-33.3%,,,829,0.6%,
,Asian,476,-3.8%,19,-17.4%,11,-31.3%,,,506,-5.2%,
,American Indian,35,-5.4%,,,,,,,35,-5.4%,
,International,260,-2.3%,962,1.3%,587,5.6%,,,1809,2.1%,
,Unknown/Other,119,-11.2%,3,50.0%,3,50.0%,,,125,-9.4%,
TAMU Age,<18,18,0.0%,,,,,,,18,0.0%,
Categories,18-21,5096,-4.4%,51,-15.0%,,,,,5147,-4.5%,
,22-25,2217,6.3%,724,4.0%,56,5.7%,,,2997,5.7%,
,26-30,200,-1.0%,331,-8.8%,309,-8.6%,,,840,-7.0%,
,31-39,74,-1.3%,117,-5.6%,317,8.6%,,,508,3.5%,
,40+,23,4.5%,23,-4.2%,46,-4.2%,,,92,-2.1%,
Enrollment,1st Time in College,1458,-5.1%,,,,,,,1458,-5.1%,
Status,1st Time PB,13,100.0%,,,,,,,13,100.0%,
,1st Time Graduate,,,434,-10.7%,81,-34.1%,,,515,-15.4%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,337,-7.4%,,,,,,,337,-7.4%,
,Re Admitted,86,4.9%,1,100.0%,3,100.0%,,,90,9.8%,
,Continuing,5734,-0.3%,811,3.8%,644,5.9%,,,7189,0.7%,
Tuition,Resident Tuition,6972,-1.1%,206,-8.4%,85,-15.8%,,,7263,-1.5%,
Status,Non-Resident Tuition,371,-3.1%,384,20.8%,149,-2.0%,,,904,6.0%,
,Tuition Exemption/Waiver,285,-4.4%,656,-9.4%,494,3.3%,,,1435,-4.3%,
Residency,Texas Resident,6994,-0.9%,209,-7.5%,87,-14.7%,,,7290,-1.3%,
Status,"Non-TX, US Resident",370,-10.0%,75,-16.7%,51,-30.1%,,,496,-13.6%,
,"Non-TX, Non-US Resident",264,-0.8%,962,1.2%,590,6.1%,,,1816,2.4%,
SCH,< 6 SCH,159,-23.6%,152,15.2%,122,-1.6%,,,433,-6.7%,
Categories,6-8 SCH,135,0.0%,51,18.6%,17,30.8%,,,203,6.3%,
,9-11 SCH,298,1.0%,951,-2.4%,559,-1.2%,,,1808,-1.5%,
,12-14 SCH,5037,-3.5%,84,-14.3%,26,4.0%,,,5147,-3.6%,
,15-17 SCH,1917,5.9%,7,-63.2%,3,200.0%,,,1927,5.2%,
,>17 SCH,82,26.2%,1,0.0%,1,-50.0%,,,84,23.5%,
Ft/Pt:,Less Than Half Time,41,-80.3%,144,25.2%,113,0.0%,,,298,-31.7%,
"TAMU
Status",Half-Time,"133
296","-1.5%
0.3%",59,-1.7%,25,4.2%,,,"217
296","-0.9%
0.3%",
,Full-Time,7158,0.9%,1043,-4.5%,590,-0.7%,,,8791,0.1%,
"Prepared by OISP, 11 Oct 01",,,,,,,,,,,,
