Fall 2001,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,22,,73,,1,,,,96,,
Gender,Male,14,,33,,1,,,,48,,
,Female,8,,40,,,,,,48,,
Ethnic,White,,,28,,1,,,,29,,
Origin,Black,,,4,,,,,,4,,
,Hispanic,,,6,,,,,,6,,
,Asian,,,4,,,,,,4,,
,American Indian,,,,,,,,,,,
,International,22,,28,,,,,,50,,
,Unknown/Other,,,3,,,,,,3,,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,11,,,,,,,,11,,
,22-25,10,,46,,,,,,56,,
,26-30,,,18,,1,,,,19,,
,31-39,1,,4,,,,,,5,,
,40+,,,5,,,,,,5,,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,11,,,,,,11,,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Re Admitted,,,,,,,,,,,
,Continuing,22,,62,,1,,,,85,,
Tuition,Resident Tuition,,,38,,1,,,,39,,
Status,Non-Resident Tuition,22,,18,,,,,,40,,
,Tuition Exemption/Waiver,,,17,,,,,,17,,
Residency,Texas Resident,,,38,,1,,,,39,,
Status,"Non-TX, US Resident",,,7,,,,,,7,,
,"Non-TX, Non-US Resident",22,,28,,,,,,50,,
SCH,< 6 SCH,,,42,,1,,,,43,,
Categories,6-8 SCH,,,5,,,,,,5,,
,9-11 SCH,0,,6,,,,,,6,,
,12-14 SCH,12,,6,,,,,,18,,
,15-17 SCH,10,,14,,,,,,24,,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,,,39,,1,,,,40,,
"TAMU
Status",Half-Time,0,,8,,,,,,"8
0",,
,Full-Time,22,,26,,,,,,48,,
"Prepared by OISP, 11 Oct 01",,,,,,,,,,,,
