Graduate Students,,,,,,,
Fall 2001,,,,,,,
Fall 2001,,G6: Non-Degree Seeking PB,"G7:
Masters","G8:
Doctoral","G9:
Probationary GR","GRAND
Total",
Head Count,Total,433,4158,2901,26,7518,
Gender,Male,178,2582,1847,17,4624,
,Female,255,1576,1054,9,2894,
Ethnic Origin,White,266,2105,1325,19,3715,
,Black,30,59,93,2,184,
,Hispanic,43,181,145,3,372,
,Asian,6,83,45,,134,
,American Indian,2,6,7,,15,
,International,74,1678,1253,2,3007,
,Unknown/Other,12,46,33,,91,
TAMU Age,18-21,1,93,,,94,
Categories,22-25,111,2180,204,14,2509,
,26-30,107,1156,1010,2,2275,
,31-39,93,516,1101,5,1715,
,40+,121,213,586,5,925,
College,Agriculture,37,610,502,,1149,
,Architecture,10,318,88,1,417,
,Business Admin,4,794,73,4,875,
,Education,189,368,628,2,1187,
,Engineering,39,1206,728,1,1974,
,Geosciences,22,161,105,1,289,
,G. Bush School of Govt,15,47,,1,63,
,Liberal Arts,24,318,362,,704,
,Science,28,268,331,16,643,
,Veterinary Medicine,4,56,83,,143,
,Other Special Populations,61,12,1,,74,
Enrollment,1st Time Graduate,,1689,295,23,2007,
Status,Re Admitted,,15,12,,27,
,Continuing,433,2454,2594,3,5484,
Tuition Status,Resident Tuition,311,1827,1115,8,3261,
,Non-Resident Tuition,63,645,455,4,1167,
,Tuition Exemption/Waiver,59,1686,1331,14,3090,
Residency,Texas Resident,316,1843,1121,11,3291,
Status,"Non-TX, US Resident",43,634,518,13,1208,
,"Non-TX, Non-US Resident",74,1681,1262,2,3019,
SCH,< 6 SCH,201,524,815,2,1542,
Categories,6-8 SCH,135,201,131,1,468,
,9-11 SCH,65,2389,1808,17,4279,
,12-14 SCH,16,794,129,5,944,
,15-17 SCH,9,233,15,,257,
,>17 SCH,7,17,3,1,28,
Ft/Pt: TAMU,Less Than Half Time,190,443,699,1,1333,
Status,Half-Time,146,281,247,2,676,
,Full-Time,97,3434,1955,23,5509,
"Prepared by OISP, 11 Oct 01",,,,,,,
