Fall 2001,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,1419,-3.3%,329,18.3%,88,14.3%,,,1836,0.8%,
Gender,Male,936,-6.8%,215,22.2%,66,8.2%,,,1217,-1.9%,
,Female,483,4.3%,114,11.8%,22,37.5%,,,619,6.5%,
Ethnic,White,1206,-1.2%,141,3.7%,31,10.7%,,,1378,-0.5%,
Origin,Black,17,-10.5%,3,0.0%,3,50.0%,,,23,-4.2%,
,Hispanic,120,-18.9%,15,7.1%,2,0.0%,,,137,-16.5%,
,Asian,28,12.0%,8,-11.1%,1,-50.0%,,,37,2.8%,
,American Indian,9,80.0%,1,0.0%,,,,,10,66.7%,
,International,11,-38.9%,158,39.8%,50,19.0%,,,219,26.6%,
,Unknown/Other,28,-9.7%,3,50.0%,1,0.0%,,,32,-5.9%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,865,-6.7%,3,0.0%,,,,,868,-6.7%,
,22-25,515,4.0%,149,15.5%,2,-50.0%,,,666,6.1%,
,26-30,22,-26.7%,123,23.0%,19,11.8%,,,164,11.6%,
,31-39,13,8.3%,40,17.6%,43,26.5%,,,96,20.0%,
,40+,4,33.3%,14,16.7%,24,9.1%,,,42,13.5%,
Enrollment,1st Time in College,146,-8.2%,,,,,,,146,-8.2%,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,144,19.0%,13,-7.1%,,,157,16.3%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,67,0.0%,,,,,,,67,0.0%,
,Re Admitted,11,-21.4%,4,100.0%,,,,,15,7.1%,
,Continuing,1195,-2.6%,181,15.3%,75,19.0%,,,1451,0.3%,
Tuition,Resident Tuition,1361,-2.7%,140,6.1%,29,7.4%,,,1530,-1.8%,
Status,Non-Resident Tuition,32,-15.8%,51,-12.1%,26,23.8%,,,109,-6.8%,
,Tuition Exemption/Waiver,26,-13.3%,138,56.8%,33,13.8%,,,197,34.0%,
Residency,Texas Resident,1361,-2.7%,141,6.8%,29,7.4%,,,1531,-1.7%,
Status,"Non-TX, US Resident",47,-6.0%,30,-9.1%,9,12.5%,,,86,-5.5%,
,"Non-TX, Non-US Resident",11,-38.9%,158,39.8%,50,19.0%,,,219,26.6%,
SCH,< 6 SCH,18,0.0%,52,30.0%,32,14.3%,,,102,18.6%,
Categories,6-8 SCH,34,-10.5%,9,-18.2%,4,100.0%,,,47,-7.8%,
,9-11 SCH,89,50.8%,121,27.4%,43,7.5%,,,253,30.4%,
,12-14 SCH,874,-6.5%,115,13.9%,6,50.0%,,,995,-4.3%,
,15-17 SCH,369,-4.9%,30,-3.2%,3,50.0%,,,402,-4.5%,
,>17 SCH,35,20.7%,2,100.0%,0,-100.0%,,,37,23.3%,
Ft/Pt:,Less Than Half Time,16,-11.1%,38,8.6%,27,8.0%,,,81,3.8%,
"TAMU
Status",Half-Time,"34
88","-10.5%
49.2%",23,43.8%,9,80.0%,,,"66
88","11.9%
49.2%",
,Full-Time,1281,-5.3%,268,18.1%,52,10.6%,,,1601,-1.5%,
"Prepared by OISP, 11 Oct 01",,,,,,,,,,,,
