Fall 2001,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,3674,14.7%,,,,,,,3674,14.7%,
Gender,Male,2009,21.3%,,,,,,,2009,21.3%,
,Female,1665,7.6%,,,,,,,1665,7.6%,
Ethnic,White,3018,16.0%,,,,,,,3018,16.0%,
Origin,Black,116,-1.7%,,,,,,,116,-1.7%,
,Hispanic,369,17.9%,,,,,,,369,17.9%,
,Asian,98,5.4%,,,,,,,98,5.4%,
,American Indian,17,-5.6%,,,,,,,17,-5.6%,
,International,18,-10.0%,,,,,,,18,-10.0%,
,Unknown/Other,38,-5.0%,,,,,,,38,-5.0%,
TAMU Age,<18,16,0.0%,,,,,,,16,0.0%,
Categories,18-21,3579,15.2%,,,,,,,3579,15.2%,
,22-25,58,-14.7%,,,,,,,58,-14.7%,
,26-30,14,55.6%,,,,,,,14,55.6%,
,31-39,6,50.0%,,,,,,,6,50.0%,
,40+,1,0.0%,,,,,,,1,0.0%,
Enrollment,1st Time in College,1724,33.9%,,,,,,,1724,33.9%,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,,,,,,,,,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,128,77.8%,,,,,,,128,77.8%,
,Re Admitted,103,53.7%,,,,,,,103,53.7%,
,Continuing,1719,-3.3%,,,,,,,1719,-3.3%,
Tuition,Resident Tuition,3523,14.6%,,,,,,,3523,14.6%,
Status,Non-Resident Tuition,106,12.8%,,,,,,,106,12.8%,
,Tuition Exemption/Waiver,45,21.6%,,,,,,,45,21.6%,
Residency,Texas Resident,3538,15.1%,,,,,,,3538,15.1%,
Status,"Non-TX, US Resident",117,6.4%,,,,,,,117,6.4%,
,"Non-TX, Non-US Resident",19,-5.0%,,,,,,,19,-5.0%,
SCH,< 6 SCH,358,2137.5%,,,,,,,358,2137.5%,
Categories,6-8 SCH,43,59.3%,,,,,,,43,59.3%,
,9-11 SCH,62,24.0%,,,,,,,62,24.0%,
,12-14 SCH,2775,5.1%,,,,,,,2775,5.1%,
,15-17 SCH,436,-5.6%,,,,,,,436,-5.6%,
,>17 SCH,0,-100.0%,,,,,,,0,-100.0%,
Ft/Pt:,Less Than Half Time,357,2131.3%,,,,,,,357,2131.3%,
"TAMU
Status",Half-Time,"42
61","55.6%
22.0%",,,,,,,"42
61","55.6%
22.0%",
,Full-Time,3214,3.3%,,,,,,,3214,3.3%,
"Prepared by OISP, 11 Oct 01",,,,,,,,,,,,
