Fall 2008,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"2,258",-2.8%,405,4.1%,385,4.6%,,,"3,048",-1.0%,
Gender,Female,"1,233",-5.9%,149,3.5%,125,8.7%,,,"1,507",-4.0%,
,Male,"1,025",1.2%,256,4.5%,260,2.8%,,,"1,541",2.0%,
Ethnicity,White,"1,502",-7.5%,202,3.6%,130,9.2%,,,"1,834",-5.3%,
,Black,75,-6.3%,5,-37.5%,6,500.0%,,,86,-3.4%,
,Hispanic,378,14.9%,27,58.8%,17,-26.1%,,,422,14.4%,
,Asian,269,3.9%,12,-25.0%,15,-6.3%,,,296,1.7%,
,American Indian,15,7.1%,1,100.0%,4,0.0%,,,20,11.1%,
,International,16,6.7%,157,4.0%,209,4.0%,,,382,4.1%,
,Unknown/Other,3,0.0%,1,-50.0%,4,0.0%,,,8,-11.1%,
TAMU Age,<18,12,0.0%,,,,,,,12,0.0%,
Categories,18-21,"1,903",-1.8%,7,-12.5%,1,100.0%,,,"1,911",-1.8%,
,22-25,324,-6.6%,229,19.3%,43,-24.6%,,,596,0.0%,
,26-30,13,-27.8%,95,-18.1%,233,8.9%,,,341,-2.0%,
,31-39,3,-40.0%,45,-6.3%,94,9.3%,,,142,2.2%,
,40+,3,0.0%,29,16.0%,14,27.3%,,,46,17.9%,
Enrollment,1st Time in College,723,0.8%,,,,,,,723,0.8%,
Status,1st Time PB,3,-25.0%,12,-42.9%,,,,,15,-40.0%,
,1st Time Graduate,,,154,6.2%,16,6.7%,,,170,6.3%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,55,-25.7%,,,,,,,55,-25.7%,
,Readmitted,12,9.1%,2,-33.3%,,,,,14,0.0%,
,Continuing,"1,465",-3.4%,237,7.7%,369,4.5%,,,"2,071",-0.9%,
Tuition,Resident Tuition,"2,122",-2.3%,160,9.6%,78,8.3%,,,"2,360",-1.2%,
Status,Non-Resident Tuition,45,-16.7%,21,10.5%,12,-36.8%,,,78,-15.2%,
,Tuition Exemption/Waiver,91,-7.1%,224,0.0%,295,6.5%,,,610,1.8%,
Residency,Texas Resident,"2,158",-2.6%,166,9.2%,83,7.8%,,,"2,407",-1.6%,
Status,"Non-TX, US Resident",82,-9.9%,80,-4.8%,89,3.5%,,,251,-3.8%,
,"Non-TX, Non-US Resident",18,12.5%,159,3.9%,213,3.9%,,,390,4.3%,
SCH,< 6 SCH,8,-33.3%,57,18.8%,17,0.0%,,,82,6.5%,
Categories,6-8 SCH,22,-21.4%,23,-11.5%,3,50.0%,,,48,-14.3%,
,9-11 SCH,62,14.8%,318,2.3%,363,4.9%,,,743,4.5%,
,12-14 SCH,"1,172",-2.4%,5,150.0%,1,-66.7%,,,"1,178",-2.3%,
,15-17 SCH,949,-3.1%,2,0.0%,1,100.0%,,,952,-3.0%,
,>17 SCH,45,-8.2%,,,,,,,45,-8.2%,
Ft/Pt:,Less Than Half Time,8,-20.0%,47,2.2%,15,0.0%,,,70,-1.4%,
"TAMU
Status","Half-Time
Three-Quarter Time","21
55","-16.0%
0.0%",30,20.0%,5,66.7%,,,"56
55","5.7%
0.0%",
,Full-Time,"2,174",-2.6%,328,3.1%,365,4.3%,,,"2,867",-1.2%,
"Prepared by OISP, 11 Nov 08",,,,,,,,,,,,
