"Fall 2008
Headcount Total
TAMU Age                     18-21
Categories                       22-25
26-30
31-39
40+
Classification                  Freshman Sophomore Junior Senior
PB
Tuition Status                  Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status             Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories              < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:  TAMU                 Less Than Half Time
Status                              Half-Time
Three-Quarter Time Full-Time
Top 10% Texas              No
High School                    Yes
First Generation              No Unknown Yes
Dorm / Off-campus        Off-campus students                           Dorm (On-campus)",White,,,Black,,,,,Hispanic,,,,Asian,,,,,American Indian,,,International,,,Unknown/Other,,,,Grand Total,,,,,
,F,M,Tot,F,,M,,Tot,F,,M,Tot,F,,M,,Tot,F,M,Tot,F,M,Tot,F,M,Tot,,F,M,,Tot,,
,151,112,263,,3,,5,8,,24,17,41,,4,,7,11,3,,3,2,1,3,2,1,,3,189,,143,,332,
,132,84,216,,3,,4,7,,23,10,33,,4,,6,10,2,,2,2,1,3,2,1,,3,168,,106,,274,
,10,17,27,,,,1,1,,1,2,3,,,,1,1,,,,,,,,,,,11,,21,,32,
,6,9,15,,,,,,,,3,3,,,,,,1,,1,,,,,,,,7,,12,,19,
,,2,2,,,,,,,,1,1,,,,,,,,,,,,,,,,,,3,,3,
,3,,3,,,,,,,,1,1,,,,,,,,,,,,,,,,3,,1,,4,
,11,19,30,,,,,,,2,1,3,,1,,1,2,1,,1,,,,1,1,,2,16,,22,,38,
,91,69,160,,2,,4,6,,16,11,27,,1,,4,5,2,,2,2,1,3,1,,,1,115,,89,,204,
,45,20,65,,1,,1,2,,6,5,11,,2,,2,4,,,,,,,,,,,54,,28,,82,
,4,4,8,,,,,,,,,,,,,,,,,,,,,,,,,4,,4,,8,
,145,103,248,,3,,3,6,,24,17,41,,2,,7,9,3,,3,,,,1,1,,2,178,,131,,309,
,3,2,5,,,,1,1,,,,,,,,,,,,,1,,1,1,,,1,5,,3,,8,
,3,7,10,,,,1,1,,,,,,2,,,2,,,,1,1,2,,,,,6,,9,,15,
,148,108,256,,3,,3,6,,24,17,41,,2,,7,9,3,,3,,,,1,1,,2,181,,136,,317,
,3,4,7,,,,2,2,,,,,,1,,,1,,,,,,,1,,,1,5,,6,,11,
,,,,,,,,,,,,,,1,,,1,,,,2,1,3,,,,,3,,1,,4,
,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,5,1,6,,,,,,,,2,2,,,,,,,,,,,,,,,,5,,3,,8,
,5,4,9,,,,,,,,,,,,,2,2,,,,1,,1,,,,,6,,6,,12,
,80,61,141,,3,,4,7,,15,8,23,,,,4,4,2,,2,,1,1,,,,,100,,78,,178,
,58,44,102,,,,1,1,,8,7,15,,4,,1,5,1,,1,1,,1,2,1,,3,74,,54,,128,
,3,1,4,,,,,,,1,,1,,,,,,,,,,,,,,,,4,,1,,5,
,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,5,1,6,,,,,,,,2,2,,,,,,,,,,,,,,,,5,,3,,8,
,5,4,9,,,,,,,,,,,,,2,2,,,,1,,1,,,,,6,,6,,12,
,141,106,247,,3,,5,8,,24,15,39,,4,,5,9,3,,3,1,1,2,2,1,,3,178,,133,,311,
,139,109,248,,3,,5,8,,23,16,39,,4,,7,11,3,,3,2,1,3,2,1,,3,176,,139,,315,
,12,3,15,,,,,,,1,1,2,,,,,,,,,,,,,,,,13,,4,,17,
,96,79,175,,3,,2,5,,13,4,17,,3,,4,7,2,,2,,,,1,,,1,118,,89,,207,
,5,4,9,,,,3,3,,2,2,4,,,,,,,,,2,1,3,1,,,1,10,,10,,20,
,50,29,79,,,,,,,9,11,20,,1,,3,4,1,,1,,,,,1,,1,61,,44,,105,
,144,105,249,,2,,5,7,,23,15,38,,2,,7,9,3,,3,,1,1,2,1,,3,176,,134,,310,
,7,7,14,,1,,,1,,1,2,3,,2,,,2,,,,2,,2,,,,,13,,9,,22,
"Prepared by OISP, 11 Nov 08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
