Fall 2008,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"1,794",-5.8%,85,6.3%,67,17.5%,503,-0.4%,"2,449",-3.8%,
Gender,Female,"1,220",-6.4%,46,-16.4%,52,52.9%,377,1.1%,"1,695",-4.0%,
,Male,574,-4.3%,39,56.0%,15,-34.8%,126,-4.5%,754,-3.3%,
Ethnicity,White,"1,276",-6.9%,57,5.6%,31,24.0%,437,-0.9%,"1,801",-4.8%,
,Black,46,-17.9%,1,-66.7%,3,200.0%,1,0.0%,51,-16.4%,
,Hispanic,306,5.5%,2,-33.3%,4,0.0%,38,5.6%,350,5.1%,
,Asian,156,-9.8%,2,0.0%,3,50.0%,18,0.0%,179,-8.2%,
,American Indian,6,-33.3%,0,-100.0%,1,100.0%,2,0.0%,9,-30.8%,
,International,3,0.0%,22,57.1%,23,-4.2%,,,48,17.1%,
,Unknown/Other,1,-50.0%,1,-50.0%,2,100.0%,7,0.0%,11,-8.3%,
TAMU Age,<18,5,-37.5%,,,,,,,5,-37.5%,
Categories,18-21,"1,614",-4.8%,0,-100.0%,,,25,0.0%,"1,639",-4.8%,
,22-25,172,-10.9%,42,10.5%,3,100.0%,319,4.6%,536,0.0%,
,26-30,0,-100.0%,34,36.0%,31,29.2%,132,-5.7%,197,1.5%,
,31-39,1,-50.0%,7,-36.4%,26,8.3%,22,-26.7%,56,-16.4%,
,40+,2,100.0%,2,-50.0%,7,-22.2%,5,0.0%,16,-15.8%,
Enrollment,1st Time in College,665,-9.2%,,,,,,,665,-9.2%,
Status,1st Time PB,,,3,100.0%,,,,,3,100.0%,
,1st Time Graduate,,,29,-12.1%,5,400.0%,,,34,0.0%,
,1st Time Professional,,,,,,,133,0.0%,133,0.0%,
,1st Time Transfer,4,-50.0%,,,,,,,4,-50.0%,
,Readmitted,3,0.0%,0,-100.0%,0,-100.0%,,,3,-50.0%,
,Continuing,"1,122",-3.4%,53,17.8%,62,12.7%,370,-0.5%,"1,607",-1.6%,
Tuition,Resident Tuition,"1,720",-6.1%,50,2.0%,30,11.1%,466,-0.6%,"2,266",-4.7%,
Status,Non-Resident Tuition,27,-27.0%,4,-33.3%,4,33.3%,8,33.3%,43,-17.3%,
,Tuition Exemption/Waiver,47,34.3%,31,24.0%,33,22.2%,29,-3.3%,140,19.7%,
Residency,Texas Resident,"1,744",-5.7%,51,-3.8%,33,22.2%,469,-1.3%,"2,297",-4.5%,
Status,"Non-TX, US Resident",46,-9.8%,12,-7.7%,11,83.3%,34,13.3%,103,3.0%,
,"Non-TX, Non-US Resident",4,0.0%,22,57.1%,23,-4.2%,,,49,16.7%,
SCH,< 6 SCH,5,-50.0%,17,-10.5%,19,58.3%,,,41,0.0%,
Categories,6-8 SCH,17,-26.1%,6,-14.3%,2,-77.8%,,,25,-35.9%,
,9-11 SCH,35,-20.5%,49,11.4%,45,40.6%,,,129,7.5%,
,12-14 SCH,807,1.0%,12,50.0%,1,-66.7%,,,820,1.2%,
,15-17 SCH,906,-9.9%,1,-50.0%,0,-100.0%,,,907,-10.0%,
,>17 SCH,24,4.3%,,,,,503,-0.4%,527,-0.2%,
Ft/Pt:,Less Than Half Time,4,-60.0%,11,0.0%,14,40.0%,,,29,-6.5%,
"TAMU
Status","Half-Time
Three-Quarter Time","17
35","-26.1%
-20.5%",12,-20.0%,7,-36.4%,,,"36
35","-26.5%
-20.5%",
,Full-Time,"1,738",-4.9%,62,14.8%,46,27.8%,503,-0.4%,"2,349",-3.0%,
"Prepared by OISP, 11 Nov 08",,,,,,,,,,,,
