"Fall 2008
Headcount Total
TAMU Age                     18-21
Categories                       22-25
26-30
31-39
40+
Classification                  Freshman Sophomore Junior Senior
PB
Tuition Status                  Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status             Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories              < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:  TAMU                 Less Than Half Time
Status                              Half-Time
Three-Quarter Time Full-Time
Top 10% Texas              No
High School                    Yes
First Generation              No Unknown Yes
Dorm / Off-campus        Off-campus students                           Dorm (On-campus)",White,,,,,Black,,,Hispanic,,,,,Asian,,,,,American Indian,,,International,,,Unknown/Other,,,,Grand Total,,,,,,
,F,,M,,Tot,F,M,Tot,F,,M,,Tot,F,,M,,Tot,F,M,Tot,F,M,Tot,F,M,Tot,,F,,M,,Tot,,
,,26,,13,39,,,,,3,,3,6,,3,,3,6,1,,1,,2,2,1,,,1,,34,,21,,55,
,,24,,11,35,,,,,3,,2,5,,3,,2,5,,,,,1,1,1,,,1,,31,,16,,47,
,,2,,1,3,,,,,,,1,1,,,,1,1,1,,1,,,,,,,,,3,,3,,6,
,,,,1,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,2,,2,
,,1,,1,2,,,,,,,,,,1,,,1,,,,,,,1,,,1,,3,,1,,4,
,,11,,1,12,,,,,2,,2,4,,,,1,1,1,,1,,,,,,,,,14,,4,,18,
,,14,,11,25,,,,,1,,1,2,,2,,2,4,,,,,2,2,,,,,,17,,16,,33,
,,26,,13,39,,,,,3,,3,6,,3,,3,6,1,,1,,,,,,,,,33,,19,,52,
,,,,,,,,,,,,,,,,,,,,,,,2,2,1,,,1,,1,,2,,3,
,,26,,13,39,,,,,3,,3,6,,3,,3,6,1,,1,,,,,,,,,33,,19,,52,
,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,2,,2,
,,,,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,2,,2,
,,18,,11,29,,,,,2,,2,4,,3,,3,6,1,,1,,1,1,1,,,1,,25,,17,,42,
,,7,,1,8,,,,,1,,,1,,,,,,,,,,1,1,,,,,,8,,2,,10,
,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
,,,,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,2,,2,
,,26,,12,38,,,,,3,,2,5,,3,,3,6,1,,1,,2,2,1,,,1,,34,,19,,53,
,,21,,13,34,,,,,3,,3,6,,3,,3,6,1,,1,,2,2,1,,,1,,29,,21,,50,
,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,5,
,,22,,10,32,,,,,3,,3,6,,2,,2,4,,,,,,,,,,,,27,,15,,42,
,,,,,,,,,,,,,,,,,1,1,,,,,2,2,1,,,1,,1,,3,,4,
,,4,,3,7,,,,,,,,,,1,,,1,1,,1,,,,,,,,,6,,3,,9,
,,24,,13,37,,,,,3,,1,4,,3,,3,6,1,,1,,2,2,1,,,1,,32,,19,,51,
,,2,,,2,,,,,,,2,2,,,,,,,,,,,,,,,,,2,,2,,4,
"Prepared by OISP, 11 Nov 08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
