Fall 2008,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"5,991",1.7%,356,4.4%,467,4.0%,,,"6,814",2.0%,
Gender,Female,"3,607",0.9%,179,-0.6%,253,8.1%,,,"4,039",1.3%,
,Male,"2,384",2.8%,177,9.9%,214,-0.5%,,,"2,775",3.0%,
Ethnicity,White,"4,606",-0.8%,198,3.1%,253,0.4%,,,"5,057",-0.6%,
,Black,207,7.8%,15,-25.0%,27,22.7%,,,249,6.4%,
,Hispanic,893,11.9%,45,7.1%,56,36.6%,,,994,12.8%,
,Asian,195,12.1%,11,-8.3%,12,20.0%,,,218,11.2%,
,American Indian,40,11.1%,1,-66.7%,4,33.3%,,,45,7.1%,
,International,28,3.7%,77,13.2%,107,-4.5%,,,212,2.4%,
,Unknown/Other,22,10.0%,9,125.0%,8,-11.1%,,,39,18.2%,
TAMU Age,<18,8,-11.1%,,,,,,,8,-11.1%,
Categories,18-21,"4,370",2.8%,3,-25.0%,,,,,"4,373",2.8%,
,22-25,"1,457",-1.8%,177,1.7%,35,52.2%,,,"1,669",-0.7%,
,26-30,98,3.2%,100,6.4%,187,0.5%,,,385,2.7%,
,31-39,40,21.2%,46,-6.1%,169,4.3%,,,255,4.5%,
,40+,18,-14.3%,30,50.0%,76,-2.6%,,,124,4.2%,
Enrollment,1st Time in College,745,-0.3%,,,,,,,745,-0.3%,
Status,1st Time PB,1,100.0%,11,120.0%,,,,,12,140.0%,
,1st Time Graduate,,,153,20.5%,45,2.3%,,,198,15.8%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,332,-0.9%,,,,,,,332,-0.9%,
,Readmitted,85,23.2%,2,100.0%,1,-50.0%,,,88,23.9%,
,Continuing,"4,828",1.8%,190,-9.1%,421,4.5%,,,"5,439",1.6%,
Tuition,Resident Tuition,"5,696",2.0%,154,7.7%,208,6.1%,,,"6,058",2.3%,
Status,Non-Resident Tuition,125,-8.1%,68,28.3%,57,11.8%,,,250,4.2%,
,Tuition Exemption/Waiver,170,-2.3%,134,-7.6%,202,0.0%,,,506,-2.9%,
Residency,Texas Resident,"5,754",2.1%,159,5.3%,219,9.0%,,,"6,132",2.4%,
Status,"Non-TX, US Resident",206,-8.4%,120,-1.6%,140,3.7%,,,466,-3.3%,
,"Non-TX, Non-US Resident",31,6.9%,77,13.2%,108,-4.4%,,,216,2.9%,
SCH,< 6 SCH,54,-12.9%,42,5.0%,120,-0.8%,,,216,-3.1%,
Categories,6-8 SCH,140,-9.1%,21,40.0%,10,-41.2%,,,171,-8.1%,
,9-11 SCH,257,2.0%,271,1.5%,326,8.7%,,,854,4.3%,
,12-14 SCH,"2,692",6.4%,22,15.8%,10,11.1%,,,"2,724",6.5%,
,15-17 SCH,"2,625",-2.1%,,,1,-50.0%,,,"2,626",-2.1%,
,>17 SCH,223,3.7%,,,,,,,223,3.7%,
Ft/Pt:,Less Than Half Time,46,-13.2%,37,8.8%,96,-5.9%,,,179,-5.3%,
"TAMU
Status","Half-Time
Three-Quarter Time","138
255","-6.8%
2.0%",26,23.8%,29,-3.3%,,,"193
255","-3.0%
2.0%",
,Full-Time,"5,552",2.0%,293,2.4%,342,7.9%,,,"6,187",2.4%,
"Prepared by OISP, 11 Nov 08",,,,,,,,,,,,
