Fall 2008,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"4,070",-2.1%,669,7.9%,689,1.9%,,,"5,428",-0.5%,
Gender,Female,"3,053",-1.7%,488,8.4%,469,1.3%,,,"4,010",-0.2%,
,Male,"1,017",-3.3%,181,6.5%,220,3.3%,,,"1,418",-1.2%,
Ethnicity,White,"3,353",-3.1%,461,5.7%,362,-0.3%,,,"4,176",-1.9%,
,Black,130,-1.5%,47,9.3%,115,19.8%,,,292,7.7%,
,Hispanic,464,2.2%,82,17.1%,106,-5.4%,,,652,2.5%,
,Asian,80,12.7%,15,36.4%,14,0.0%,,,109,13.5%,
,American Indian,16,6.7%,3,0.0%,5,66.7%,,,24,14.3%,
,International,13,8.3%,60,5.3%,79,0.0%,,,152,2.7%,
,Unknown/Other,14,0.0%,1,100.0%,8,-11.1%,,,23,0.0%,
TAMU Age,<18,2,-33.3%,,,,,,,2,-33.3%,
Categories,18-21,"2,827",3.4%,10,-16.7%,0,-100.0%,,,"2,837",3.3%,
,22-25,"1,128",-13.3%,309,3.3%,29,0.0%,,,"1,466",-10.0%,
,26-30,62,3.3%,161,17.5%,143,15.3%,,,366,14.0%,
,31-39,32,-11.1%,102,-1.9%,246,1.7%,,,380,-0.5%,
,40+,19,-20.8%,87,27.9%,271,-3.2%,,,377,1.3%,
Enrollment,1st Time in College,422,-17.7%,,,,,,,422,-17.7%,
Status,1st Time PB,0,-100.0%,73,55.3%,,,,,73,49.0%,
,1st Time Graduate,,,258,-16.0%,86,43.3%,,,344,-6.3%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,254,-7.0%,,,,,,,254,-7.0%,
,Readmitted,45,-10.0%,4,300.0%,6,0.0%,,,55,-3.5%,
,Continuing,"3,349",0.9%,334,26.0%,597,-2.1%,,,"4,280",2.0%,
Tuition,Resident Tuition,"3,953",-2.7%,561,11.3%,534,1.1%,,,"5,048",-0.9%,
Status,Non-Resident Tuition,56,36.6%,44,-6.4%,35,6.1%,,,135,11.6%,
,Tuition Exemption/Waiver,61,8.9%,64,-7.2%,120,4.3%,,,245,2.1%,
Residency,Texas Resident,"3,982",-2.5%,571,12.0%,549,0.0%,,,"5,102",-0.8%,
Status,"Non-TX, US Resident",75,23.0%,38,-28.3%,61,27.1%,,,174,7.4%,
,"Non-TX, Non-US Resident",13,8.3%,60,5.3%,79,0.0%,,,152,2.7%,
SCH,< 6 SCH,62,82.4%,128,-3.0%,300,-3.5%,,,490,2.7%,
Categories,6-8 SCH,256,-16.6%,266,29.1%,116,9.4%,,,638,3.1%,
,9-11 SCH,186,0.0%,224,12.6%,229,2.7%,,,639,5.1%,
,12-14 SCH,"1,871",-0.3%,47,-39.7%,37,23.3%,,,"1,955",-1.5%,
,15-17 SCH,"1,595",-3.2%,4,-20.0%,7,16.7%,,,"1,606",-3.2%,
,>17 SCH,100,-5.7%,,,,,,,100,-5.7%,
Ft/Pt:,Less Than Half Time,61,84.8%,108,3.8%,245,-1.2%,,,414,7.5%,
"TAMU
Status","Half-Time
Three-Quarter Time","80
185","-11.1%
2.8%",286,22.2%,167,0.0%,,,"533
185","8.6%
2.8%",
,Full-Time,"3,744",-2.9%,275,-2.5%,277,6.1%,,,"4,296",-2.3%,
"Prepared by OISP, 11 Nov 08",,,,,,,,,,,,
