Fall 2008,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Engineering       AERL
AERO BMEL BMEN CECL CECN CEEL CEEN CHEL CHEN CPEN CPSC CPSL CVEL CVEN ELEL ELEN ENGR ENSM ENTC ENTL HLPH IDIL IDIS INEL INEN ITDE MEEL MEEN MSEN NUEL NUEN OCEL OCEN PETE PETL RHEL RHEN SENG USEN WMHS",,"260
285
138
167
107
83
62
40
273
309
0
158
152
259
522
202
242
3
7
128
175
10
126
284
115
228
2
351
617
5
79
139
47
148
233
248
19
9
0
1","2.8%
8.8%
0.7%
9.2%
11.5%
-12.6%
26.5%
-32.2%
16.7%
6.9%
-100.0%
-16.8%
19.7%
8.4%
-4.2%
1.5%
-2.4%
0.0%
100.0%
-19.0%
18.2%
-33.3%
12.5%
-3.7%
7.5%
18.8%
-33.3%
-8.6%
-0.5%
100.0%
-12.2%
17.8%
-20.3%
13.8%
-9.0%
35.5%
5.6%
-10.0%
-100.0%
100.0%","11
7
8
4
11
4
4
3
8
7
6
3
9
7
20
16
1
4
8
0
5
8
12
10
1
6
20
2
2
3
4
13
2
1","0.0%
40.0%
-20.0%
0.0%
-15.4%
0.0%
-42.9%
50.0%
-11.1%
-12.5%
-14.3%
-25.0%
-10.0%
0.0%
0.0%
14.3%
0.0%
33.3%
14.3%
-100.0%
66.7%
-27.3%
71.4%
25.0%
0.0%
-14.3%
0.0%
100.0%
0.0%
-25.0%
33.3%
8.3%
-33.3%
0.0%","62
42
28
27
36
14
18
11
46
43
16
26
55
84
53
55
3
33
36
1
20
44
39
71
62
71
4
10
15
10
29
24
30
9
3","-23.5%
20.0%
33.3%
22.7%
9.1%
27.3%
-25.0%
-15.4%
-6.1%
-6.5%
0.0%
0.0%
0.0%
3.7%
1.9%
34.1%
100.0%
13.8%
24.1%
-66.7%
66.7%
41.9%
85.7%
12.7%
-1.6%
-1.4%
100.0%
25.0%
50.0%
11.1%
45.0%
-20.0%
50.0%
50.0%
-25.0%","13
13
31
29
10
11
9
12
35
34
0
14
10
13
33
31
33
1
1
7
15
1
3
7
6
12
9
38
2
8
8
1
8
21
20
3
1","30.0%
44.4%
55.0%
11.5%
-33.3%
10.0%
-43.8%
71.4%
40.0%
36.0%
-100.0%
-17.6%
233.3%
18.2%
50.0%
-3.1%
26.9%
100.0%
100.0%
0.0%
25.0%
100.0%
200.0%
-56.3%
0.0%
-7.7%
-47.1%
-7.3%
100.0%
33.3%
-11.1%
-50.0%
-20.0%
5.0%
300.0%
0.0%
0.0%","2
0
1
1
2
2
1
2
1
1
3
2
1
2
2
2
1
2
1
6
1
0
0","100.0%
-100.0%
100.0%
0.0%
-50.0%
-33.3%
0.0%
0.0%
-50.0%
-50.0%
100.0%
100.0%
100.0%
100.0%
-33.3%
0.0%
-50.0%
100.0%
-50.0%
50.0%
-66.7%
-100.0%
-100.0%","4
61
2
41
3
60
11
79
16
118
2
139
6
4
249
20
368
2
2
4
5
1
1
0
8
233
6
325
44
5
21
3
35
212
39
3","-20.0%
-1.6%
-33.3%
-21.2%
200.0%
20.0%
83.3%
16.2%
6.7%
-7.8%
-50.0%
-7.9%
-25.0%
300.0%
16.4%
11.1%
1.1%
-66.7%
100.0%
0.0%
150.0%
0.0%
0.0%
-100.0%
0.0%
30.9%
-14.3%
31.0%
100.0%
400.0%
-16.0%
200.0%
2.9%
8.7%
56.0%
200.0%","2
1
3
0
3
0
1
2
2
1
1
2
1
0
3
1
2
4
1
1
1
1
3
1
1","0.0%
100.0%
-25.0%
-100.0%
200.0%
-100.0%
0.0%
0.0%
0.0%
100.0%
100.0%
100.0%
100.0%
-100.0%
50.0%
0.0%
100.0%
-20.0%
100.0%
-50.0%
100.0%
100.0%
200.0%
0.0%
100.0%","352
410
208
271
167
176
105
145
380
514
2
336
201
342
897
331
717
7
14
176
241
13
157
345
184
557
3
437
1,081
58
106
187
62
224
506
340
32
13
3
1
1","-2.2%
9.3%
8.9%
3.8%
4.4%
2.9%
1.9%
-2.7%
12.1%
2.8%
-66.7%
-12.5%
16.9%
7.5%
3.0%
2.8%
3.3%
-30.0%
100.0%
-12.9%
21.7%
-35.0%
18.9%
-3.1%
20.3%
22.4%
-25.0%
-9.1%
7.0%
100.0%
-5.4%
12.7%
-12.7%
12.6%
-1.6%
42.3%
14.3%
-13.3%
50.0%
100.0%
100.0%",
,Subtotal,"6,233",2.6%,230,0.4%,"1,130",9.1%,503,13.3%,36,-2.7%,"2,132",12.9%,38,22.6%,"10,302",5.7%,
G. Bush,BUSH,0,-100.0%,0,-100.0%,0,-100.0%,4,100.0%,0,-100.0%,0,-100.0%,1,0.0%,0,-100.0%,
"School of
Govt",CAIA CHLS,"59
17","31.1%
-34.6%","0
0","-100.0%
-100.0%","8
4","-11.1%
0.0%",,,,,0,-100.0%,,,"72
21","20.0%
-34.4%",
,CNPM,10,400.0%,1,100.0%,,,,,,,,,1,100.0%,12,500.0%,
,INTA,77,18.5%,5,66.7%,5,66.7%,1,-50.0%,0,-100.0%,10,11.1%,2,-33.3%,100,16.3%,
,PSAA,59,100.0%,4,100.0%,8,100.0%,,,,,12,100.0%,1,100.0%,84,100.0%,
,Subtotal,222,15.0%,10,25.0%,25,8.7%,5,25.0%,0,-100.0%,22,22.2%,5,25.0%,289,14.7%,
"Prepared by OISP, 11 Nov 08",,,,,,,,,,,,,,,,,,
