Fall 2008,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,,,289,14.7%,,,,,289,14.7%,
Gender,Female,,,117,24.5%,,,,,117,24.5%,
,Male,,,172,8.9%,,,,,172,8.9%,
Ethnicity,White,,,222,15.0%,,,,,222,15.0%,
,Black,,,10,25.0%,,,,,10,25.0%,
,Hispanic,,,25,8.7%,,,,,25,8.7%,
,Asian,,,5,25.0%,,,,,5,25.0%,
,American Indian,,,0,-100.0%,,,,,0,-100.0%,
,International,,,22,22.2%,,,,,22,22.2%,
,Unknown/Other,,,5,25.0%,,,,,5,25.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,,,9,350.0%,,,,,9,350.0%,
,22-25,,,130,-4.4%,,,,,130,-4.4%,
,26-30,,,76,40.7%,,,,,76,40.7%,
,31-39,,,39,25.8%,,,,,39,25.8%,
,40+,,,35,20.7%,,,,,35,20.7%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,62,5.1%,,,,,62,5.1%,
,1st Time Graduate,,,88,1.1%,,,,,88,1.1%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,,,0,-100.0%,,,,,0,-100.0%,
,Continuing,,,139,32.4%,,,,,139,32.4%,
Tuition,Resident Tuition,,,181,4.6%,,,,,181,4.6%,
Status,Non-Resident Tuition,,,11,83.3%,,,,,11,83.3%,
,Tuition Exemption/Waiver,,,97,32.9%,,,,,97,32.9%,
Residency,Texas Resident,,,196,4.8%,,,,,196,4.8%,
Status,"Non-TX, US Resident",,,71,51.1%,,,,,71,51.1%,
,"Non-TX, Non-US Resident",,,22,22.2%,,,,,22,22.2%,
SCH,< 6 SCH,,,68,17.2%,,,,,68,17.2%,
Categories,6-8 SCH,,,33,-15.4%,,,,,33,-15.4%,
,9-11 SCH,,,27,68.8%,,,,,27,68.8%,
,12-14 SCH,,,156,14.7%,,,,,156,14.7%,
,15-17 SCH,,,5,66.7%,,,,,5,66.7%,
,>17 SCH,,,,,,,,,,,
Ft/Pt:,Less Than Half Time,,,68,17.2%,,,,,68,17.2%,
"TAMU
Status","Half-Time
Three-Quarter Time",,,33,-15.4%,,,,,33,-15.4%,
,Full-Time,,,188,21.3%,,,,,188,21.3%,
"Prepared by OISP, 11 Nov 08",,,,,,,,,,,,
