"Fall 2008
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies       GEST
Subtotal
Other - Special        CLMD Populations              MARS
SABX SRPH
Subtotal
University                Total",Undergraduate,,,,,Masters,,,,PhD,,,Professional,,Total,
,"1st Time in College
17
94
88
27
80
3
13
77
9
137
18
163
19
745
517
82
77
47
723
665
665
2,109
2,109
8,093","1st Time PB
1
1
1
1
1
3
15","1st Time Transfer
10
19
59
32
25
5
36
2
44
1
85
14
332
49
2
2
2
55
4
4
159
159
1,666","Readmitted
3
1
13
12
2
13
4
8
1
19
9
85
7
1
3
1
12
3
3
54
54
409","Continuing
106
420
816
331
516
35
80
550
80
651
63
884
296
4,828
994
184
1
203
83
1,465
1,122
1,122
2,588
2,588
50
50
28,247",1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,1st Time Professional,Continuing,,
,,,,,,3,15,1,46,4,1,44,133,370,248,
,,,,,,,,,1,,,,,,535,
,,,,,,2,12,,12,3,,49,,,"1,054",
,,,,,,1,42,,29,6,,50,,,530,
,,,,,,,19,,16,6,,80,,,744,
,,,,,,,,,,,,,,,39,
,,,,,,2,10,,10,1,,19,,,141,
,,,,,,1,9,,16,3,,41,,,746,
,,,,,,1,12,1,6,1,,6,,,123,
,,,,,,,4,,9,1,,45,,,899,
,,,,,,,,,,,,,,,83,
,,,,,,,18,,24,10,,33,,,"1,236",
,,,,,,1,12,,21,10,,54,,,436,
,,,,,,11,153,2,190,45,1,421,,,"6,814",
,,,,,,,18,1,22,,,64,,,"1,673",
,,,,,,,46,1,91,,,123,,,531,
,,,,,,,,,,,,,,,1,
,,,,,,6,33,,39,7,,53,,,423,
,,,,,,,27,,36,3,,84,,,284,
,,,,,,6,30,,49,6,,45,,,136,
,,,,,,12,154,2,237,16,,369,,,"3,048",
,,,,,,,9,,4,1,,3,,,"2,314",
,,,,,,,6,,18,,,25,,,49,
,,,,,,1,,,5,,,,,,6,
,,,,,,,4,,4,,,1,,,9,
,,,,,,1,5,,12,4,,24,,,46,
,,,,,,1,5,,10,,,9,,,25,
,,,,,,3,29,,53,5,,62,133,370,"2,449",
,,,,,,,,,,,,,,,"4,910",
,,,,,,,,,,,,,,,"4,910",
,,,,,,7,,,5,,,,,,12,
,,,,,,,,,1,,,,,,1,
,,,,,,14,,,,,,,,,64,
,,,,,,8,,,8,,,,,,16,
,,,,,,29,,,14,,,,,,93,
,,,,,,235,"2,373",16,"3,174",323,14,"2,971",133,370,"48,039",
"Prepared by OISP, 11 Nov 08",,,,,,,,,,,,,,,,
