Fall 2008,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"1,474",3.2%,430,11.7%,87,14.5%,,,"1,991",5.4%,
Gender,Female,445,5.2%,157,9.8%,33,22.2%,,,635,7.1%,
,Male,"1,029",2.4%,273,12.8%,54,10.2%,,,"1,356",4.6%,
Ethnicity,White,"1,170",1.6%,175,-3.8%,22,22.2%,,,"1,367",1.1%,
,Black,25,19.0%,6,-14.3%,1,0.0%,,,32,10.3%,
,Hispanic,207,11.9%,20,-4.8%,4,33.3%,,,231,10.5%,
,Asian,41,-8.9%,12,9.1%,4,-20.0%,,,57,-6.6%,
,American Indian,12,33.3%,,,1,0.0%,,,13,30.0%,
,International,13,44.4%,214,32.9%,54,12.5%,,,281,28.9%,
,Unknown/Other,6,-14.3%,3,0.0%,1,100.0%,,,10,0.0%,
TAMU Age,<18,0,-100.0%,,,,,,,0,-100.0%,
Categories,18-21,941,7.4%,5,150.0%,,,,,946,7.7%,
,22-25,462,-5.9%,229,27.9%,1,100.0%,,,692,3.3%,
,26-30,53,23.3%,142,0.7%,16,-30.4%,,,211,1.9%,
,31-39,12,20.0%,44,-17.0%,51,30.8%,,,107,4.9%,
,40+,6,0.0%,10,0.0%,19,35.7%,,,35,16.7%,
Enrollment,1st Time in College,200,2.0%,,,,,,,200,2.0%,
Status,1st Time PB,1,0.0%,5,66.7%,,,,,6,50.0%,
,1st Time Graduate,,,178,21.1%,11,57.1%,,,189,22.7%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,69,-16.9%,,,,,,,69,-16.9%,
,Readmitted,17,-26.1%,0,-100.0%,1,100.0%,,,18,-25.0%,
,Continuing,"1,187",5.5%,247,5.6%,75,8.7%,,,"1,509",5.7%,
Tuition,Resident Tuition,"1,398",2.4%,178,-2.7%,28,27.3%,,,"1,604",2.2%,
Status,Non-Resident Tuition,20,-4.8%,120,166.7%,11,10.0%,,,151,98.7%,
,Tuition Exemption/Waiver,56,33.3%,132,-15.9%,48,9.1%,,,236,-2.9%,
Residency,Texas Resident,"1,415",2.5%,183,-2.7%,28,21.7%,,,"1,626",2.2%,
Status,"Non-TX, US Resident",46,17.9%,33,-2.9%,5,0.0%,,,84,7.7%,
,"Non-TX, Non-US Resident",13,44.4%,214,31.3%,54,12.5%,,,281,27.7%,
SCH,< 6 SCH,10,25.0%,39,14.7%,27,42.1%,,,76,24.6%,
Categories,6-8 SCH,130,14.0%,10,-16.7%,2,100.0%,,,142,11.8%,
,9-11 SCH,73,19.7%,124,-8.1%,56,0.0%,,,253,0.4%,
,12-14 SCH,755,0.3%,218,43.4%,1,100.0%,,,974,7.6%,
,15-17 SCH,472,5.6%,39,-25.0%,1,100.0%,,,512,2.6%,
,>17 SCH,34,-24.4%,,,,,,,34,-24.4%,
Ft/Pt:,Less Than Half Time,10,25.0%,32,14.3%,25,78.6%,,,67,34.0%,
"TAMU
Status","Half-Time
Three-Quarter Time","64
65","204.8%
14.0%",14,-12.5%,4,-20.0%,,,"82
65","95.2%
14.0%",
,Full-Time,"1,335",-0.5%,384,12.6%,58,1.8%,,,"1,777",2.1%,
"Prepared by OISP, 11 Nov 08",,,,,,,,,,,,
