Fall 2008,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Geosciences,ATMO,23,-8.0%,0,-100.0%,1,-50.0%,3,50.0%,2,0.0%,25,19.0%,3,0.0%,52,0.0%,
,ENGS,44,-2.2%,,,8,166.7%,,,,,1,100.0%,1,0.0%,57,11.8%,
,ENST,35,40.0%,1,100.0%,5,150.0%,2,-33.3%,,,,,,,43,43.3%,
,ESCI,0,-100.0%,,,,,,,,,,,1,100.0%,1,0.0%,
,GEOG,98,-14.8%,3,0.0%,9,0.0%,5,25.0%,,,29,7.4%,1,-50.0%,147,-9.3%,
,GEOL,166,11.4%,1,100.0%,15,7.1%,4,33.3%,1,0.0%,28,33.3%,,,215,14.4%,
,GEOP,36,50.0%,3,200.0%,1,100.0%,1,0.0%,1,0.0%,24,20.0%,1,0.0%,67,39.6%,
,GEOS,3,0.0%,,,,,,,,,,,,,3,0.0%,
,METR,110,-7.6%,1,0.0%,24,33.3%,0,-100.0%,1,100.0%,1,0.0%,,,137,-2.1%,
,OCNG,48,20.0%,0,-100.0%,3,-25.0%,1,0.0%,,,27,-3.6%,,,79,6.8%,
,SPSG,11,120.0%,,,1,100.0%,,,,,,,,,12,140.0%,
,WMHS,16,100.0%,1,100.0%,1,100.0%,,,,,6,100.0%,,,24,100.0%,
,Subtotal,590,7.1%,10,42.9%,68,30.8%,16,6.7%,5,25.0%,141,19.5%,7,0.0%,837,11.0%,
Liberal Arts,AMST,9,-30.8%,,,2,-33.3%,,,0,-100.0%,,,,,11,-35.3%,
,ANTH,187,0.0%,5,66.7%,28,21.7%,9,28.6%,2,0.0%,14,-22.2%,3,-25.0%,248,1.6%,
,CLSS,7,250.0%,,,3,100.0%,,,,,,,,,10,400.0%,
,COML,1,-80.0%,,,,,,,,,,,,,1,-80.0%,
,COMM,773,1.3%,23,43.8%,93,29.2%,10,0.0%,7,16.7%,14,16.7%,4,-33.3%,924,4.4%,
,ECON,326,-2.7%,6,20.0%,46,-22.0%,39,25.8%,2,-33.3%,109,13.5%,2,0.0%,530,-0.2%,
,ENGL,574,-9.6%,29,-3.3%,83,9.2%,23,15.0%,6,20.0%,29,-3.3%,,,744,-6.5%,
,FREN,12,33.3%,1,-66.7%,2,0.0%,1,-50.0%,0,-100.0%,,,2,100.0%,18,5.9%,
,GERM,2,0.0%,,,,,1,0.0%,1,0.0%,0,-100.0%,,,4,-20.0%,
,HISP,11,22.2%,,,15,7.1%,,,,,4,33.3%,,,30,15.4%,
,HIST,627,-1.7%,12,-29.4%,89,11.3%,8,14.3%,4,-20.0%,3,50.0%,3,-25.0%,746,-0.9%,
,INTS,373,3.3%,12,9.1%,106,23.3%,19,11.8%,5,66.7%,5,0.0%,2,0.0%,522,7.6%,
,JOUR,0,-100.0%,,,,,,,,,,,,,0,-100.0%,
,MODL,6,50.0%,,,5,150.0%,1,0.0%,,,1,100.0%,,,13,85.7%,
,MUSC,18,20.0%,4,33.3%,8,60.0%,0,-100.0%,,,,,,,30,25.0%,
,NUTR,3,100.0%,,,,,,,,,,,,,3,100.0%,
,PHIL,101,6.3%,3,100.0%,13,18.2%,1,-66.7%,1,-50.0%,0,-100.0%,4,100.0%,123,7.0%,
,POLS,664,-2.4%,47,20.5%,136,-0.7%,31,19.2%,5,400.0%,11,-35.3%,5,0.0%,899,-0.7%,
,PSYC,889,9.1%,55,-3.5%,212,23.3%,55,17.0%,9,12.5%,7,-22.2%,9,125.0%,"1,236",11.2%,
,RUSS,6,-25.0%,,,,,,,,,1,0.0%,,,7,-22.2%,
,SOCI,267,-5.3%,45,9.8%,89,23.6%,13,-27.8%,2,-33.3%,12,9.1%,5,25.0%,433,0.5%,
,SPAN,56,36.6%,2,100.0%,39,0.0%,0,-100.0%,,,1,100.0%,,,98,21.0%,
,TCMS,107,-31.8%,5,-28.6%,10,-28.6%,6,50.0%,1,0.0%,1,100.0%,,,130,-29.0%,
,THAR,37,15.6%,0,-100.0%,15,7.1%,1,100.0%,,,,,,,53,10.4%,
,USLA,1,100.0%,,,,,,,,,,,,,1,100.0%,
,Subtotal,"5,057",-0.6%,249,6.4%,994,12.8%,218,11.2%,45,7.1%,212,2.4%,39,18.2%,"6,814",2.0%,
"Prepared by OISP, 11 Nov 08",,,,,,,,,,,,,,,,,,
