"Fall 2008
Headcount Total
TAMU Age                     18-21
Categories                       22-25
26-30
31-39
40+
Classification                  Freshman Sophomore Junior Senior
PB
Tuition Status                  Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status             Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories              < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:  TAMU                 Less Than Half Time
Status                              Half-Time
Three-Quarter Time Full-Time
Top 10% Texas              No
High School                    Yes
First Generation              No Unknown Yes
Dorm / Off-campus        Off-campus students                           Dorm (On-campus)",White,,,,Black,,,,Hispanic,,,,Asian,,,,American Indian,,,International,,,Unknown/Other,,,,Grand Total,,,,,,
,F,,M,Tot,F,M,,Tot,F,,M,Tot,F,,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,,F,,M,,Tot,,
,,25,142,167,,,7,7,,4,25,29,,3,18,21,1,,1,6,32,38,,7,,7,,39,,231,,270,
,,21,110,131,,,7,7,,4,17,21,,3,12,15,1,,1,5,21,26,,5,,5,,34,,172,,206,
,,2,15,17,,,,,,,7,7,,,6,6,,,,1,7,8,,2,,2,,3,,37,,40,
,,2,13,15,,,,,,,,,,,,,,,,,4,4,,,,,,2,,17,,19,
,,,2,2,,,,,,,1,1,,,,,,,,,,,,,,,,,,3,,3,
,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,10,10,,,1,1,,,,,,,2,2,,,,,,,,1,,1,,,,14,,14,
,,15,79,94,,,5,5,,2,12,14,,,7,7,,,,3,19,22,,,,,,20,,122,,142,
,,10,44,54,,,,,,2,10,12,,2,8,10,1,,1,3,12,15,,3,,3,,18,,77,,95,
,,,9,9,,,1,1,,,3,3,,1,1,2,,,,,1,1,,3,,3,,1,,18,,19,
,,23,139,162,,,7,7,,4,24,28,,3,16,19,1,,1,,2,2,,4,,4,,31,,192,,223,
,,,1,1,,,,,,,1,1,,,1,1,,,,3,18,21,,2,,2,,3,,23,,26,
,,2,2,4,,,,,,,,,,,1,1,,,,3,12,15,,1,,1,,5,,16,,21,
,,25,140,165,,,7,7,,4,24,28,,3,17,20,1,,1,,,,,4,,4,,33,,192,,225,
,,,1,1,,,,,,,1,1,,,1,1,,,,,,,,2,,2,,,,5,,5,
,,,1,1,,,,,,,,,,,,,,,,6,32,38,,1,,1,,6,,34,,40,
,,1,2,3,,,,,,,,,,,,,,,,,1,1,,,,,,1,,3,,4,
,,,3,3,,,,,,,,,,,,,,,,,2,2,,,,,,,,5,,5,
,,1,5,6,,,,,,1,2,3,,,1,1,,,,,1,1,,,,,,2,,9,,11,
,,14,105,119,,,6,6,,3,17,20,,1,9,10,1,,1,5,19,24,,4,,4,,24,,160,,184,
,,9,27,36,,,1,1,,,6,6,,2,7,9,,,,1,8,9,,3,,3,,12,,52,,64,
,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,,,,2,,2,
,,1,2,3,,,,,,,,,,,,,,,,,1,1,,,,,,1,,3,,4,
,,,3,3,,,,,,,,,,,,,,,,,2,2,,,,,,,,5,,5,
,,1,5,6,,,,,,1,2,3,,,1,1,,,,,1,1,,,,,,2,,9,,11,
,,23,132,155,,,7,7,,3,23,26,,3,17,20,1,,1,6,28,34,,7,,7,,36,,214,,250,
,,18,119,137,,,7,7,,3,22,25,,1,17,18,1,,1,6,32,38,,6,,6,,29,,203,,232,
,,7,23,30,,,,,,1,3,4,,2,1,3,,,,,,,,1,,1,,10,,28,,38,
,,20,99,119,,,5,5,,1,10,11,,1,8,9,1,,1,,1,1,,3,,3,,23,,126,,149,
,,,,,,,,,,,,,,1,1,2,,,,6,31,37,,3,,3,,7,,35,,42,
,,5,43,48,,,2,2,,3,15,18,,1,9,10,,,,,,,,1,,1,,9,,70,,79,
,,23,139,162,,,6,6,,4,24,28,,3,16,19,1,,1,5,22,27,,6,,6,,36,,213,,249,
,,2,3,5,,,1,1,,,1,1,,,2,2,,,,1,10,11,,1,,1,,3,,18,,21,
"Prepared by OISP, 11 Nov 08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
