Fall 2008,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"38,430",2.9%,"5,798",8.1%,"3,308",-0.2%,503,-0.4%,"48,039",3.2%,
Gender,Female,"18,377",2.5%,"2,332",7.3%,"1,388",2.5%,377,1.1%,"22,474",3.0%,
,Male,"20,053",3.2%,"3,466",8.6%,"1,920",-2.1%,126,-4.5%,"25,565",3.4%,
Ethnicity,White,"29,363",0.7%,"2,909",2.1%,"1,250",1.0%,437,-0.9%,"33,959",0.8%,
,Black,"1,215",11.1%,150,-3.8%,194,19.8%,1,0.0%,"1,560",10.4%,
,Hispanic,"5,188",11.4%,383,12.3%,258,4.0%,38,5.6%,"5,867",11.1%,
,Asian,"1,759",8.1%,168,12.0%,82,2.5%,18,0.0%,"2,027",8.1%,
,American Indian,222,3.7%,12,-40.0%,20,25.0%,2,0.0%,256,1.6%,
,International,578,16.5%,"2,121",17.4%,"1,470",-4.1%,,,"4,169",8.7%,
,Unknown/Other,105,6.1%,55,27.9%,34,-10.5%,7,0.0%,201,7.5%,
TAMU Age,<18,71,-13.4%,,,,,,,71,-13.4%,
Categories,18-21,"29,348",4.2%,108,-12.2%,1,0.0%,25,0.0%,"29,482",4.2%,
,22-25,"8,135",-1.4%,"3,300",9.5%,235,-3.3%,319,4.6%,"11,989",1.5%,
,26-30,601,5.6%,"1,459",8.7%,"1,350",1.7%,132,-5.7%,"3,542",4.9%,
,31-39,185,-6.6%,614,0.3%,"1,211",0.4%,22,-26.7%,"2,032",-0.7%,
,40+,90,-9.1%,317,15.3%,511,-5.0%,5,0.0%,923,0.7%,
Enrollment,1st Time in College,"8,093",0.0%,,,,,,,"8,093",0.0%,
Status,1st Time PB,15,-31.8%,235,10.3%,,,,,250,6.4%,
,1st Time Graduate,,,"2,373",5.2%,323,24.7%,,,"2,696",7.2%,
,1st Time Professional,,,,,,,133,0.0%,133,0.0%,
,1st Time Transfer,"1,666",2.1%,,,,,,,"1,666",2.1%,
,Readmitted,409,-1.2%,16,6.7%,14,40.0%,,,439,0.0%,
,Continuing,"28,247",3.9%,"3,174",10.2%,"2,971",-2.5%,370,-0.5%,"34,762",3.8%,
Tuition,Resident Tuition,"36,216",2.8%,"2,857",3.6%,"1,262",2.5%,466,-0.6%,"40,801",2.8%,
Status,Non-Resident Tuition,934,-3.2%,912,30.3%,338,-0.9%,8,33.3%,"2,192",8.9%,
,Tuition Exemption/Waiver,"1,280",9.6%,"2,029",6.3%,"1,708",-2.0%,29,-3.3%,"5,046",4.1%,
Residency,Texas Resident,"36,594",2.8%,"2,936",4.1%,"1,316",3.1%,469,-1.3%,"41,315",2.8%,
Status,"Non-TX, US Resident","1,241",-0.6%,728,0.3%,516,3.2%,34,13.3%,"2,519",0.6%,
,"Non-TX, Non-US Resident",595,16.9%,"2,134",17.4%,"1,476",-4.1%,,,"4,205",8.8%,
SCH,< 6 SCH,"1,238",21.9%,742,6.6%,742,-0.5%,,,"2,722",10.7%,
Categories,6-8 SCH,975,-4.8%,538,20.6%,166,-6.7%,,,"1,679",1.9%,
,9-11 SCH,"1,328",3.5%,"3,264",9.1%,"2,304",0.3%,,,"6,896",4.9%,
,12-14 SCH,"19,322",5.7%,923,6.2%,79,2.6%,,,"20,324",5.7%,
,15-17 SCH,"14,734",-1.1%,236,-16.6%,16,6.7%,,,"14,986",-1.4%,
,>17 SCH,833,-3.0%,95,20.3%,1,0.0%,503,-0.4%,"1,432",-0.8%,
Ft/Pt:,Less Than Half Time,"1,153",25.7%,603,3.6%,615,2.0%,,,"2,371",12.8%,
"TAMU
Status","Half-Time
Three-Quarter Time","703
1,303","2.8%
3.3%",618,20.2%,267,-7.3%,,,"1,588
1,303","6.9%
3.3%",
,Full-Time,"35,271",2.2%,"4,577",7.2%,"2,426",0.1%,503,-0.4%,"42,777",2.6%,
"Prepared by OISP, 11 Nov 08",,,,,,,,,,,,
