Fall 2008,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"4,304",5.3%,821,-2.5%,62,-10.1%,,,"5,187",3.8%,
Gender,Female,"2,265",3.6%,336,1.8%,17,-22.7%,,,"2,618",3.1%,
,Male,"2,039",7.4%,485,-5.3%,45,-4.3%,,,"2,569",4.5%,
Ethnicity,White,"3,446",2.7%,521,-5.4%,31,-6.1%,,,"3,998",1.5%,
,Black,126,24.8%,22,57.1%,1,-50.0%,,,149,27.4%,
,Hispanic,471,12.4%,49,4.3%,0,-100.0%,,,520,11.1%,
,Asian,202,21.7%,44,22.2%,3,50.0%,,,249,22.1%,
,American Indian,25,31.6%,0,-100.0%,,,,,25,13.6%,
,International,26,44.4%,172,-6.0%,26,-3.7%,,,224,-1.8%,
,Unknown/Other,8,14.3%,13,62.5%,1,-66.7%,,,22,22.2%,
TAMU Age,<18,2,-60.0%,,,,,,,2,-60.0%,
Categories,18-21,"3,515",2.5%,25,0.0%,,,,,"3,540",2.5%,
,22-25,737,20.8%,499,-7.4%,6,-14.3%,,,"1,242",7.4%,
,26-30,28,47.4%,142,7.6%,25,0.0%,,,195,10.8%,
,31-39,12,-14.3%,99,12.5%,27,-10.0%,,,138,4.5%,
,40+,10,25.0%,56,-3.4%,4,-42.9%,,,70,-4.1%,
Enrollment,1st Time in College,810,0.6%,,,,,,,810,0.6%,
Status,1st Time PB,,,1,100.0%,,,,,1,100.0%,
,1st Time Graduate,,,440,-7.8%,18,5.9%,,,458,-7.3%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,98,46.3%,,,,,,,98,46.3%,
,Readmitted,16,-23.8%,,,,,,,16,-23.8%,
,Continuing,"3,380",5.9%,380,4.1%,44,-15.4%,,,"3,804",5.4%,
Tuition,Resident Tuition,"4,184",5.4%,592,-1.8%,15,-11.8%,,,"4,791",4.4%,
Status,Non-Resident Tuition,51,6.3%,37,-46.4%,1,-80.0%,,,89,-27.0%,
,Tuition Exemption/Waiver,69,3.0%,192,12.9%,46,-2.1%,,,307,8.1%,
Residency,Texas Resident,"4,204",5.0%,604,-0.2%,17,-15.0%,,,"4,825",4.3%,
Status,"Non-TX, US Resident",73,15.9%,44,-15.4%,19,-13.6%,,,136,-0.7%,
,"Non-TX, Non-US Resident",27,35.0%,173,-6.5%,26,-3.7%,,,226,-2.6%,
SCH,< 6 SCH,31,-20.5%,9,80.0%,3,-57.1%,,,43,-15.7%,
Categories,6-8 SCH,58,-15.9%,15,87.5%,,,,,73,-5.2%,
,9-11 SCH,119,0.0%,217,0.5%,53,-13.1%,,,389,-1.8%,
,12-14 SCH,"2,570",11.4%,314,-4.3%,4,300.0%,,,"2,888",9.5%,
,15-17 SCH,"1,484",-1.8%,171,-17.0%,1,100.0%,,,"1,656",-3.6%,
,>17 SCH,42,5.0%,95,20.3%,1,100.0%,,,138,16.0%,
Ft/Pt:,Less Than Half Time,14,-57.6%,8,100.0%,2,-71.4%,,,24,-45.5%,
"TAMU
Status","Half-Time
Three-Quarter Time","44
117","-32.3%
0.9%",14,55.6%,1,100.0%,,,"59
117","-20.3%
0.9%",
,Full-Time,"4,129",6.6%,799,-3.6%,59,-4.8%,,,"4,987",4.7%,
"Prepared by OISP, 11 Nov 08",,,,,,,,,,,,
