Fall 2008,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"5,411",0.2%,792,34.0%,488,9.7%,,,"6,691",4.0%,
Gender,Female,"2,704",3.6%,409,36.8%,225,14.8%,,,"3,338",7.5%,
,Male,"2,707",-3.0%,383,31.2%,263,5.6%,,,"3,353",0.7%,
Ethnicity,White,"4,325",-1.1%,510,22.3%,198,1.0%,,,"5,033",1.0%,
,Black,185,6.3%,16,33.3%,20,11.1%,,,221,8.3%,
,Hispanic,670,10.6%,59,51.3%,37,12.1%,,,766,13.0%,
,Asian,142,-4.7%,9,12.5%,4,33.3%,,,155,-3.1%,
,American Indian,35,-7.9%,4,-20.0%,2,0.0%,,,41,-8.9%,
,International,40,-9.1%,187,83.3%,223,18.0%,,,450,34.3%,
,Unknown/Other,14,-17.6%,7,-12.5%,4,0.0%,,,25,-13.8%,
TAMU Age,<18,2,-60.0%,,,,,,,2,-60.0%,
Categories,18-21,"3,333",0.3%,10,-9.1%,,,,,"3,343",0.3%,
,22-25,"1,853",0.7%,445,41.7%,27,-10.0%,,,"2,325",6.5%,
,26-30,159,-2.5%,223,39.4%,200,13.0%,,,582,16.4%,
,31-39,49,-3.9%,75,7.1%,201,14.2%,,,325,9.4%,
,40+,15,-21.1%,39,8.3%,60,-3.2%,,,114,-2.6%,
Enrollment,1st Time in College,525,-2.4%,,,,,,,525,-2.4%,
Status,1st Time PB,3,-70.0%,25,25.0%,,,,,28,-6.7%,
,1st Time Graduate,,,267,42.0%,30,15.4%,,,297,38.8%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,388,2.4%,,,,,,,388,2.4%,
,Readmitted,129,8.4%,3,50.0%,3,100.0%,,,135,11.6%,
,Continuing,"4,366",0.3%,497,30.4%,455,8.6%,,,"5,318",3.2%,
Tuition,Resident Tuition,"5,104",0.0%,463,25.8%,174,0.0%,,,"5,741",1.7%,
Status,Non-Resident Tuition,108,-10.7%,53,65.6%,55,25.0%,,,216,9.6%,
,Tuition Exemption/Waiver,199,13.7%,276,44.5%,259,14.1%,,,734,23.8%,
Residency,Texas Resident,"5,155",0.0%,473,25.8%,179,0.0%,,,"5,807",1.7%,
Status,"Non-TX, US Resident",214,6.5%,131,17.0%,86,11.7%,,,431,10.5%,
,"Non-TX, Non-US Resident",42,-6.7%,188,82.5%,223,18.0%,,,453,34.4%,
SCH,< 6 SCH,87,-10.3%,131,22.4%,89,-7.3%,,,307,2.3%,
Categories,6-8 SCH,169,-1.7%,69,27.8%,25,8.7%,,,263,5.6%,
,9-11 SCH,284,7.6%,545,35.2%,370,18.2%,,,"1,199",22.3%,
,12-14 SCH,"2,688",2.6%,42,90.9%,3,-75.0%,,,"2,733",3.0%,
,15-17 SCH,"2,024",-3.0%,5,0.0%,1,0.0%,,,"2,030",-3.0%,
,>17 SCH,159,-1.2%,,,,,,,159,-1.2%,
Ft/Pt:,Less Than Half Time,81,-6.9%,101,7.4%,77,-4.9%,,,259,-1.1%,
"TAMU
Status","Half-Time
Three-Quarter Time","157
283","-1.3%
8.8%",93,60.3%,36,-2.7%,,,"286
283","12.6%
8.8%",
,Full-Time,"4,890",-0.1%,598,36.2%,375,14.7%,,,"5,863",3.6%,
"Prepared by OISP, 11 Nov 08",,,,,,,,,,,,
