"Fall 2008
Headcount Total
TAMU Age                     18-21
Categories                       22-25
26-30
31-39
40+
Classification                  Freshman Sophomore Junior Senior
PB
Tuition Status                  Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status             Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories              < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:  TAMU                 Less Than Half Time
Status                              Half-Time
Three-Quarter Time Full-Time
Top 10% Texas              No
High School                    Yes
First Generation              No Unknown Yes
Dorm / Off-campus        Off-campus students                           Dorm (On-campus)",White,,,Black,,,,,Hispanic,,,,Asian,,,,American Indian,,,International,,,Unknown/Other,,,,Grand Total,,,,,
,F,M,Tot,F,,M,,Tot,F,,M,Tot,F,,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,,F,M,,Tot,,
,132,191,323,,6,,3,9,,19,22,41,,6,,6,2,1,3,3,1,4,2,,,2,170,,218,,388,
,112,156,268,,6,,3,9,,15,16,31,,4,,4,2,1,3,1,1,2,2,,,2,142,,177,,319,
,15,27,42,,,,,,,3,6,9,,1,,1,,,,2,,2,,,,,21,,33,,54,
,3,5,8,,,,,,,1,,1,,1,,1,,,,,,,,,,,5,,5,,10,
,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,3,
,10,10,20,,1,,,1,,,1,1,,,,,,,,,,,,,,,11,,11,,22,
,66,106,172,,,,2,2,,8,11,19,,3,,3,2,1,3,1,1,2,2,,,2,82,,121,,203,
,50,73,123,,5,,1,6,,8,8,16,,2,,2,,,,2,,2,,,,,67,,82,,149,
,6,2,8,,,,,,,3,2,5,,1,,1,,,,,,,,,,,10,,4,,14,
,123,179,302,,4,,2,6,,19,22,41,,3,,3,2,1,3,,,,1,,,1,152,,204,,356,
,5,4,9,,,,1,1,,,,,,3,,3,,,,1,1,2,,,,,9,,6,,15,
,4,8,12,,2,,,2,,,,,,,,,,,,2,,2,1,,,1,9,,8,,17,
,123,180,303,,4,,2,6,,19,22,41,,4,,4,2,1,3,,,,1,,,1,153,,205,,358,
,9,11,20,,2,,1,3,,,,,,1,,1,,,,,,,1,,,1,13,,12,,25,
,,,,,,,,,,,,,,1,,1,,,,3,1,4,,,,,4,,1,,5,
,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,4,
,2,3,5,,,,,,,1,,1,,1,,1,,,,,,,,,,,4,,3,,7,
,3,7,10,,,,,,,,,,,,,,,,,,,,,,,,3,,7,,10,
,75,101,176,,3,,2,5,,12,13,25,,4,,4,1,1,2,2,1,3,1,,,1,98,,118,,216,
,48,76,124,,3,,1,4,,6,8,14,,1,,1,1,,1,1,,1,1,,,1,61,,85,,146,
,1,3,4,,,,,,,,1,1,,,,,,,,,,,,,,,1,,4,,5,
,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,4,
,2,3,5,,,,,,,1,,1,,1,,1,,,,,,,,,,,4,,3,,7,
,3,7,10,,,,,,,,,,,,,,,,,,,,,,,,3,,7,,10,
,124,180,304,,6,,3,9,,18,22,40,,5,,5,2,1,3,3,1,4,2,,,2,160,,207,,367,
,123,182,305,,6,,3,9,,15,22,37,,6,,6,2,1,3,3,1,4,2,,,2,157,,209,,366,
,9,9,18,,,,,,,4,,4,,,,,,,,,,,,,,,13,,9,,22,
,71,120,191,,3,,1,4,,12,10,22,,4,,4,1,1,2,,,,,,,,91,,132,,223,
,5,5,10,,1,,1,2,,,1,1,,,,,,,,3,1,4,1,,,1,10,,8,,18,
,56,66,122,,2,,1,3,,7,11,18,,2,,2,1,,1,,,,1,,,1,69,,78,,147,
,130,188,318,,6,,3,9,,19,21,40,,6,,6,2,,2,3,1,4,1,,,1,167,,213,,380,
,2,3,5,,,,,,,,1,1,,,,,,1,1,,,,1,,,1,3,,5,,8,
"Prepared by OISP, 11 Nov 08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
