Fall 2008,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"7,643",4.1%,"1,731",15.4%,928,3.2%,,,"10,302",5.7%,
Gender,Female,"1,396",3.8%,356,20.3%,165,14.6%,,,"1,917",7.4%,
,Male,"6,247",4.1%,"1,375",14.2%,763,1.1%,,,"8,385",5.4%,
Ethnicity,White,"5,626",2.3%,435,-0.2%,172,18.6%,,,"6,233",2.6%,
,Black,187,3.9%,24,-27.3%,19,18.8%,,,230,0.4%,
,Hispanic,"1,034",8.8%,62,1.6%,34,36.0%,,,"1,130",9.1%,
,Asian,422,11.9%,55,25.0%,26,13.0%,,,503,13.3%,
,American Indian,32,-5.9%,2,100.0%,2,0.0%,,,36,-2.7%,
,International,317,12.0%,"1,143",24.4%,672,-2.0%,,,"2,132",12.9%,
,Unknown/Other,25,8.7%,10,66.7%,3,50.0%,,,38,22.6%,
TAMU Age,<18,22,22.2%,,,,,,,22,22.2%,
Categories,18-21,"5,666",5.3%,39,-29.1%,,,,,"5,705",4.9%,
,22-25,"1,751",-0.3%,"1,123",19.6%,87,13.0%,,,"2,961",6.8%,
,26-30,164,13.9%,429,12.0%,454,7.6%,,,"1,047",10.3%,
,31-39,30,-14.3%,121,14.2%,340,-3.7%,,,491,-0.6%,
,40+,10,0.0%,19,11.8%,47,0.0%,,,76,2.7%,
Enrollment,1st Time in College,"1,817",7.8%,,,,,,,"1,817",7.8%,
Status,1st Time PB,5,0.0%,8,-50.0%,,,,,13,-38.1%,
,1st Time Graduate,,,739,19.6%,103,51.5%,,,842,22.7%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,270,-4.3%,,,,,,,270,-4.3%,
,Readmitted,44,-6.4%,5,25.0%,2,100.0%,,,51,-1.9%,
,Continuing,"5,507",3.4%,979,13.6%,823,-0.8%,,,"7,309",4.2%,
Tuition,Resident Tuition,"6,881",4.2%,419,-2.8%,168,26.3%,,,"7,468",4.2%,
Status,Non-Resident Tuition,287,-5.3%,511,37.4%,148,2.8%,,,946,15.5%,
,Tuition Exemption/Waiver,475,9.2%,801,14.9%,612,-1.6%,,,"1,888",7.6%,
Residency,Texas Resident,"6,988",4.2%,431,-1.6%,180,32.4%,,,"7,599",4.4%,
Status,"Non-TX, US Resident",333,-6.2%,148,6.5%,75,-1.3%,,,556,-2.5%,
,"Non-TX, Non-US Resident",322,13.0%,"1,152",24.8%,673,-2.0%,,,"2,147",13.3%,
SCH,< 6 SCH,83,-21.0%,199,5.3%,147,12.2%,,,429,0.9%,
Categories,6-8 SCH,92,0.0%,79,36.2%,7,-50.0%,,,178,8.5%,
,9-11 SCH,236,8.3%,"1,356",18.2%,748,1.9%,,,"2,340",11.5%,
,12-14 SCH,"4,038",7.2%,92,-8.0%,22,46.7%,,,"4,152",7.0%,
,15-17 SCH,"3,020",1.2%,5,-16.7%,4,0.0%,,,"3,029",1.2%,
,>17 SCH,174,-2.8%,,,0,-100.0%,,,174,-3.3%,
Ft/Pt:,Less Than Half Time,33,-13.2%,143,-3.4%,124,24.0%,,,300,4.9%,
"TAMU
Status","Half-Time
Three-Quarter Time","91
233","2.2%
8.4%",92,21.1%,17,-32.0%,,,"200
233","5.3%
8.4%",
,Full-Time,"7,286",4.1%,"1,496",17.2%,787,1.7%,,,"9,569",5.7%,
"Prepared by OISP, 11 Nov 08",,,,,,,,,,,,
