Fall 2008,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"4,910",14.6%,,,,,,,"4,910",14.6%,
Gender,Female,"2,239",20.4%,,,,,,,"2,239",20.4%,
,Male,"2,671",10.2%,,,,,,,"2,671",10.2%,
Ethnicity,White,"3,633",11.1%,,,,,,,"3,633",11.1%,
,Black,228,47.1%,,,,,,,228,47.1%,
,Hispanic,706,20.7%,,,,,,,706,20.7%,
,Asian,240,20.6%,,,,,,,240,20.6%,
,American Indian,38,0.0%,,,,,,,38,0.0%,
,International,57,78.1%,,,,,,,57,78.1%,
,Unknown/Other,8,60.0%,,,,,,,8,60.0%,
TAMU Age,<18,16,-20.0%,,,,,,,16,-20.0%,
Categories,18-21,"4,829",14.7%,,,,,,,"4,829",14.7%,
,22-25,54,17.4%,,,,,,,54,17.4%,
,26-30,7,40.0%,,,,,,,7,40.0%,
,31-39,1,100.0%,,,,,,,1,100.0%,
,40+,3,50.0%,,,,,,,3,50.0%,
Enrollment,1st Time in College,"2,109",1.2%,,,,,,,"2,109",1.2%,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,,,,,,,,,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,159,62.2%,,,,,,,159,62.2%,
,Readmitted,54,-16.9%,,,,,,,54,-16.9%,
,Continuing,"2,588",27.0%,,,,,,,"2,588",27.0%,
Tuition,Resident Tuition,"4,682",14.8%,,,,,,,"4,682",14.8%,
Status,Non-Resident Tuition,141,1.4%,,,,,,,141,1.4%,
,Tuition Exemption/Waiver,87,29.9%,,,,,,,87,29.9%,
Residency,Texas Resident,"4,709",14.6%,,,,,,,"4,709",14.6%,
Status,"Non-TX, US Resident",144,2.1%,,,,,,,144,2.1%,
,"Non-TX, Non-US Resident",57,72.7%,,,,,,,57,72.7%,
SCH,< 6 SCH,894,38.6%,,,,,,,894,38.6%,
Categories,6-8 SCH,77,54.0%,,,,,,,77,54.0%,
,9-11 SCH,55,3.8%,,,,,,,55,3.8%,
,12-14 SCH,"2,453",12.2%,,,,,,,"2,453",12.2%,
,15-17 SCH,"1,420",6.5%,,,,,,,"1,420",6.5%,
,>17 SCH,11,-31.3%,,,,,,,11,-31.3%,
Ft/Pt:,Less Than Half Time,892,38.7%,,,,,,,892,38.7%,
"TAMU
Status","Half-Time
Three-Quarter Time","77
54","54.0%
3.8%",,,,,,,"77
54","54.0%
3.8%",
,Full-Time,"3,887",9.8%,,,,,,,"3,887",9.8%,
"Prepared by OISP, 11 Nov 08",,,,,,,,,,,,
