"Fall 2008
Headcount Total
TAMU Age                     18-21
Categories                       22-25
26-30
31-39
40+
Classification                  Freshman Sophomore Junior Senior
PB
Tuition Status                  Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status             Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories              < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:  TAMU                 Less Than Half Time
Status                              Half-Time
Three-Quarter Time Full-Time
Top 10% Texas              No
High School                    Yes
First Generation              No Unknown Yes
Dorm / Off-campus        Off-campus students                           Dorm (On-campus)",White,,,Black,,,,Hispanic,,,,Asian,,,American Indian,,,International,,,Unknown/Other,,,Grand Total,,,,,
,F,M,Tot,F,,M,Tot,F,,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,,To,t,
,608,675,"1,283",,13,21,34,,91,93,184,27,36,63,11,8,19,19,45,64,10,9,19,779,,887,,"1,666",
,525,534,"1,059",,13,18,31,,76,63,139,23,26,49,9,6,15,11,28,39,9,7,16,666,,682,,"1,348",
,54,94,148,,,3,3,,10,19,29,1,8,9,1,1,2,8,10,18,,2,2,74,,137,,211,
,15,35,50,,,,,,4,6,10,2,1,3,1,1,2,,7,7,,,,22,,50,,72,
,4,9,13,,,,,,,4,4,1,1,2,,,,,,,,,,5,,14,,19,
,10,3,13,,,,,,1,1,2,,,,,,,,,,1,,1,12,,4,,16,
,45,59,104,,2,1,3,,2,4,6,2,3,5,2,3,5,,,,2,3,5,55,,73,,128,
,344,401,745,,5,12,17,,50,47,97,13,17,30,5,3,8,7,26,33,7,,7,431,,506,,937,
,198,195,393,,6,6,12,,34,37,71,9,15,24,4,2,6,9,15,24,1,3,4,261,,273,,534,
,21,20,41,,,2,2,,5,5,10,3,1,4,,,,3,3,6,,3,3,32,,34,,66,
,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,1,
,584,649,"1,233",,10,18,28,,91,91,182,21,33,54,11,8,19,,2,2,6,5,11,723,,806,,"1,529",
,13,8,21,,1,2,3,,,1,1,3,2,5,,,,10,28,38,3,3,6,30,,44,,74,
,11,18,29,,2,1,3,,,1,1,3,1,4,,,,9,15,24,1,1,2,26,,37,,63,
,589,657,"1,246",,10,18,28,,91,91,182,23,34,57,11,8,19,,,,6,5,11,730,,813,,"1,543",
,19,17,36,,3,3,6,,,2,2,2,2,4,,,,,,,4,3,7,28,,27,,55,
,,1,1,,,,,,,,,2,,2,,,,19,45,64,,1,1,21,,47,,68,
,5,4,9,,,,,,,,,,,,,,,,1,1,,,,5,,5,,10,
,11,10,21,,,,,,1,2,3,1,1,2,,,,,2,2,1,,1,14,,15,,29,
,19,25,44,,,,,,1,4,5,,3,3,1,,1,1,2,3,,,,22,,34,,56,
,319,410,729,,7,16,23,,53,53,106,15,18,33,8,4,12,12,27,39,3,5,8,417,,533,,950,
,247,221,468,,6,4,10,,35,33,68,11,13,24,2,4,6,6,12,18,6,4,10,313,,291,,604,
,7,5,12,,,1,1,,1,1,2,,1,1,,,,,1,1,,,,8,,9,,17,
,5,4,9,,,,,,,,,,,,,,,,1,1,,,,5,,5,,10,
,11,10,21,,,,,,1,2,3,1,1,2,,,,,2,2,1,,1,14,,15,,29,
,19,25,44,,,,,,1,4,5,,3,3,1,,1,1,2,3,,,,22,,34,,56,
,573,636,"1,209",,13,21,34,,89,87,176,26,32,58,10,8,18,18,40,58,9,9,18,738,,833,,"1,571",
,539,624,"1,163",,13,21,34,,82,87,169,24,35,59,11,8,19,19,45,64,10,8,18,698,,828,,"1,526",
,69,51,120,,,,,,9,6,15,3,1,4,,,,,,,,1,1,81,,59,,140,
,404,451,855,,7,12,19,,47,34,81,17,19,36,6,4,10,,1,1,3,3,6,484,,524,,"1,008",
,21,15,36,,2,4,6,,4,4,8,2,2,4,,,,19,44,63,5,4,9,53,,73,,126,
,183,209,392,,4,5,9,,40,55,95,8,15,23,5,4,9,,,,2,2,4,242,,290,,532,
,585,650,"1,235",,12,20,32,,89,86,175,24,33,57,11,7,18,16,34,50,8,7,15,745,,837,,"1,582",
,23,25,48,,1,1,2,,2,7,9,3,3,6,,1,1,3,11,14,2,2,4,34,,50,,84,
"Prepared by OISP, 11 Nov 08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
