Summer 2000,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,4,,,,,,,,4,,
Gender,Male,3,,,,,,,,3,,
,Female,1,,,,,,,,1,,
Ethnic,White,,,,,,,,,,,
Origin,Black,,,,,,,,,,,
,Hispanic,,,,,,,,,,,
,Asian,,,,,,,,,,,
,American Indian,,,,,,,,,,,
,International,4,,,,,,,,4,,
,Unknown/Other,,,,,,,,,,,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,2,,,,,,,,2,,
,22-25,1,,,,,,,,1,,
,26-30,,,,,,,,,,,
,31-39,1,,,,,,,,1,,
,40+,,,,,,,,,,,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Re Admitted,,,,,,,,,,,
,Continuing,4,,,,,,,,4,,
Tuition,Resident Tuition,,,,,,,,,,,
Status,Non-Resident Tuition,4,,,,,,,,4,,
,Tuition Exemption/Waiver,,,,,,,,,,,
Residency,Texas Resident,,,,,,,,,,,
Status,"Non-TX, US Resident",,,,,,,,,,,
,"Non-TX, Non-US Resident",4,,,,,,,,4,,
SCH,< 6 SCH,,,,,,,,,,,
Categories,6-8 SCH,3,,,,,,,,3,,
,9-11 SCH,1,,,,,,,,1,,
,12-14 SCH,,,,,,,,,,,
,15-17 SCH,,,,,,,,,,,
,>17 SCH,,,,,,,,,,,
"Prepared by OISP, 12 Oct 00",,,,,,,,,,,,
