Summer 2000,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,2753,,778,,522,,,,4053,,
Gender,Male,2162,,620,,449,,,,3231,,
,Female,591,,158,,73,,,,822,,
Ethnic,White,1947,,175,,108,,,,2230,,
Origin,Black,95,,2,,5,,,,102,,
,Hispanic,304,,24,,7,,,,335,,
,Asian,217,,19,,8,,,,244,,
,American Indian,10,,,,,,,,10,,
,International,140,,557,,393,,,,1090,,
,Unknown/Other,40,,1,,1,,,,42,,
TAMU Age,<18,2,,,,,,,,2,,
Categories,18-21,1321,,2,,,,,,1323,,
,22-25,1233,,423,,27,,,,1683,,
,26-30,127,,256,,248,,,,631,,
,31-39,58,,85,,216,,,,359,,
,40+,12,,12,,31,,,,55,,
Enrollment,1st Time in College,111,,,,,,,,111,,
Status,1st Time PB,1,,,,,,,,1,,
,1st Time Graduate,,,34,,13,,,,47,,
,1st Time Transfer,69,,,,,,,,69,,
,Re Admitted,25,,,,,,,,25,,
,Continuing,2547,,744,,509,,,,3800,,
Tuition,Resident Tuition,2458,,155,,66,,,,2679,,
Status,Non-Resident Tuition,187,,199,,102,,,,488,,
,Tuition Exemption/Waiver,108,,424,,354,,,,886,,
Residency,Texas Resident,2460,,155,,67,,,,2682,,
Status,"Non-TX, US Resident",147,,65,,61,,,,273,,
,"Non-TX, Non-US Resident",146,,558,,394,,,,1098,,
SCH,< 6 SCH,1010,,242,,106,,,,1358,,
Categories,6-8 SCH,1150,,508,,396,,,,2054,,
,9-11 SCH,468,,23,,19,,,,510,,
,12-14 SCH,117,,4,,1,,,,122,,
,15-17 SCH,8,,1,,,,,,9,,
,>17 SCH,,,,,,,,,,,
"Prepared by OISP, 12 Oct 00",,,,,,,,,,,,
