Summer 2000,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,179,,108,,80,,,,367,,
Gender,Male,94,,70,,63,,,,227,,
,Female,85,,38,,17,,,,140,,
Ethnic,White,153,,79,,31,,,,263,,
Origin,Black,,,,,,,,,,,
,Hispanic,17,,3,,1,,,,21,,
,Asian,2,,3,,,,,,5,,
,American Indian,,,,,,,,,,,
,International,5,,18,,48,,,,71,,
,Unknown/Other,2,,5,,,,,,7,,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,64,,,,,,,,64,,
,22-25,93,,42,,2,,,,137,,
,26-30,15,,47,,29,,,,91,,
,31-39,5,,16,,39,,,,60,,
,40+,2,,3,,10,,,,15,,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,3,,2,,,,5,,
,1st Time Transfer,5,,,,,,,,5,,
,Re Admitted,2,,,,,,,,2,,
,Continuing,172,,105,,78,,,,355,,
Tuition,Resident Tuition,159,,44,,10,,,,213,,
Status,Non-Resident Tuition,10,,11,,18,,,,39,,
,Tuition Exemption/Waiver,10,,53,,52,,,,115,,
Residency,Texas Resident,159,,44,,11,,,,214,,
Status,"Non-TX, US Resident",15,,46,,21,,,,82,,
,"Non-TX, Non-US Resident",5,,18,,48,,,,71,,
SCH,< 6 SCH,46,,33,,21,,,,100,,
Categories,6-8 SCH,83,,74,,57,,,,214,,
,9-11 SCH,34,,,,2,,,,36,,
,12-14 SCH,15,,1,,,,,,16,,
,15-17 SCH,1,,,,,,,,1,,
,>17 SCH,,,,,,,,,,,
"Prepared by OISP, 12 Oct 00",,,,,,,,,,,,
