Graduate Students,,,,,,,
Summer 2000,,,,,,,
Summer 2000,,G6: Non-Degreed PB,"G7:
Masters","G8:
Doctoral",G9: Probationary GR,"GRAND
Total",
Head Count,Total,232,2405,2118,24,4779,
Gender,Male,96,1427,1352,16,2891,
,Female,136,978,766,8,1888,
Ethnic,White,149,1328,1020,7,2504,
Origin,Black,23,26,74,,123,
,Hispanic,14,121,102,1,238,
,Asian,4,57,33,,94,
,American Indian,2,5,7,,14,
,International,29,849,861,16,1755,
,Unknown/Other,11,19,21,,51,
TAMU Age,18-21,,9,,,9,
Categories,22-25,37,1234,123,11,1405,
,26-30,47,754,823,8,1632,
,31-39,51,287,759,4,1101,
,40+,97,121,413,1,632,
College,Agriculture,8,431,381,2,822,
,Architecture,3,154,34,,191,
,Business Admin,4,354,78,,436,
,Education,92,270,460,1,823,
,Engineering,24,742,522,12,1300,
,Geosciences,12,95,80,1,188,
,G. Bush School of Govt,6,26,,,32,
,Liberal Arts,10,129,190,1,330,
,Science,59,172,293,7,531,
,Veterinary Medicine,12,32,80,,124,
,Distance Education,2,,,,2,
Enrollment,1st Time Graduate,,256,49,5,310,
Status,1st Time Transfer,1,,,,1,
,Continuing,231,2149,2069,19,4468,
Tuition,Resident Tuition,149,1151,788,4,2092,
Status,Non-Resident Tuition,53,346,266,1,666,
,Tuition Exemption/Waiver,30,908,1064,19,2021,
Residency,Texas Resident,149,1152,796,4,2101,
Status,"Non-TX, US Resident",54,403,458,4,919,
,"Non-TX, Non-US Resident",29,850,864,16,1759,
SCH,< 6 SCH,109,717,667,3,1496,
Categories,6-8 SCH,103,1369,1297,18,2787,
,9-11 SCH,11,209,116,3,339,
,12-14 SCH,9,96,34,,139,
,15-17 SCH,,11,3,,14,
,>17 SCH,,3,1,,4,
"Prepared by OISP, 12 Oct 00",,,,,,,
