Summer 2000,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,2399,,358,,78,,,,2835,,
Gender,Male,1140,,191,,48,,,,1379,,
,Female,1259,,167,,30,,,,1456,,
Ethnic,White,2015,,259,,39,,,,2313,,
Origin,Black,48,,3,,5,,,,56,,
,Hispanic,181,,25,,5,,,,211,,
,Asian,66,,4,,1,,,,71,,
,American Indian,9,,1,,2,,,,12,,
,International,44,,62,,25,,,,131,,
,Unknown/Other,36,,4,,1,,,,41,,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,1233,,1,,,,,,1234,,
,22-25,1091,,226,,2,,,,1319,,
,26-30,45,,80,,20,,,,145,,
,31-39,21,,44,,33,,,,98,,
,40+,9,,7,,23,,,,39,,
Enrollment,1st Time in College,10,,,,,,,,10,,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,98,,,,,,98,,
,1st Time Transfer,17,,,,,,,,17,,
,Re Admitted,21,,,,,,,,21,,
,Continuing,2351,,260,,78,,,,2689,,
Tuition,Resident Tuition,2292,,257,,30,,,,2579,,
Status,Non-Resident Tuition,73,,26,,14,,,,113,,
,Tuition Exemption/Waiver,34,,75,,34,,,,143,,
Residency,Texas Resident,2292,,257,,32,,,,2581,,
Status,"Non-TX, US Resident",62,,39,,21,,,,122,,
,"Non-TX, Non-US Resident",45,,62,,25,,,,132,,
SCH,< 6 SCH,610,,100,,26,,,,736,,
Categories,6-8 SCH,913,,136,,48,,,,1097,,
,9-11 SCH,436,,73,,4,,,,513,,
,12-14 SCH,410,,45,,,,,,455,,
,15-17 SCH,23,,3,,,,,,26,,
,>17 SCH,7,,1,,,,,,8,,
"Prepared by OISP, 12 Oct 00",,,,,,,,,,,,
