Summer 2000,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,1227,,363,,460,,,,2050,,
Gender,Male,233,,94,,169,,,,496,,
,Female,994,,269,,291,,,,1554,,
Ethnic,White,1052,,266,,316,,,,1634,,
Origin,Black,29,,28,,53,,,,110,,
,Hispanic,114,,38,,58,,,,210,,
,Asian,9,,5,,5,,,,19,,
,American Indian,8,,3,,2,,,,13,,
,International,,,15,,19,,,,34,,
,Unknown/Other,15,,8,,7,,,,30,,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,501,,1,,,,,,502,,
,22-25,665,,95,,10,,,,770,,
,26-30,42,,92,,84,,,,218,,
,31-39,14,,64,,137,,,,215,,
,40+,5,,111,,229,,,,345,,
Enrollment,1st Time in College,1,,,,,,,,1,,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,55,,14,,,,69,,
,1st Time Transfer,43,,,,,,,,43,,
,Re Admitted,12,,,,,,,,12,,
,Continuing,1171,,308,,446,,,,1925,,
Tuition,Resident Tuition,1204,,305,,380,,,,1889,,
Status,Non-Resident Tuition,14,,37,,22,,,,73,,
,Tuition Exemption/Waiver,9,,21,,58,,,,88,,
Residency,Texas Resident,1205,,306,,381,,,,1892,,
Status,"Non-TX, US Resident",21,,42,,60,,,,123,,
,"Non-TX, Non-US Resident",1,,15,,19,,,,35,,
SCH,< 6 SCH,279,,108,,216,,,,603,,
Categories,6-8 SCH,460,,131,,141,,,,732,,
,9-11 SCH,222,,84,,74,,,,380,,
,12-14 SCH,246,,35,,25,,,,306,,
,15-17 SCH,16,,3,,3,,,,22,,
,>17 SCH,4,,2,,1,,,,7,,
"Prepared by OISP, 12 Oct 00",,,,,,,,,,,,
