Summer 2000,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,492,,,,,,,,492,,
Gender,Male,264,,,,,,,,264,,
,Female,228,,,,,,,,228,,
Ethnic,White,346,,,,,,,,346,,
Origin,Black,42,,,,,,,,42,,
,Hispanic,66,,,,,,,,66,,
,Asian,16,,,,,,,,16,,
,American Indian,5,,,,,,,,5,,
,International,5,,,,,,,,5,,
,Unknown/Other,12,,,,,,,,12,,
TAMU Age,<18,2,,,,,,,,2,,
Categories,18-21,469,,,,,,,,469,,
,22-25,20,,,,,,,,20,,
,26-30,1,,,,,,,,1,,
,31-39,,,,,,,,,,,
,40+,,,,,,,,,,,
Enrollment,1st Time in College,135,,,,,,,,135,,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,,,,,,,,,
,1st Time Transfer,7,,,,,,,,7,,
,Re Admitted,,,,,,,,,,,
,Continuing,350,,,,,,,,350,,
Tuition,Resident Tuition,465,,,,,,,,465,,
Status,Non-Resident Tuition,23,,,,,,,,23,,
,Tuition Exemption/Waiver,4,,,,,,,,4,,
Residency,Texas Resident,465,,,,,,,,465,,
Status,"Non-TX, US Resident",22,,,,,,,,22,,
,"Non-TX, Non-US Resident",5,,,,,,,,5,,
SCH,< 6 SCH,115,,,,,,,,115,,
Categories,6-8 SCH,198,,,,,,,,198,,
,9-11 SCH,45,,,,,,,,45,,
,12-14 SCH,134,,,,,,,,134,,
,15-17 SCH,,,,,,,,,,,
,>17 SCH,,,,,,,,,,,
"Prepared by OISP, 12 Oct 00",,,,,,,,,,,,
