Summer 2000,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,534,,157,,34,,,,725,,
Gender,Male,365,,101,,25,,,,491,,
,Female,169,,56,,9,,,,234,,
Ethnic,White,439,,91,,16,,,,546,,
Origin,Black,7,,2,,2,,,,11,,
,Hispanic,53,,7,,,,,,60,,
,Asian,10,,4,,1,,,,15,,
,American Indian,2,,,,,,,,2,,
,International,12,,52,,15,,,,79,,
,Unknown/Other,11,,1,,,,,,12,,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,211,,,,,,,,211,,
,22-25,287,,60,,,,,,347,,
,26-30,25,,63,,9,,,,97,,
,31-39,10,,26,,16,,,,52,,
,40+,1,,8,,9,,,,18,,
Enrollment,1st Time in College,3,,,,,,,,3,,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,14,,2,,,,16,,
,1st Time Transfer,3,,,,,,,,3,,
,Re Admitted,2,,,,,,,,2,,
,Continuing,526,,143,,32,,,,701,,
Tuition,Resident Tuition,493,,87,,14,,,,594,,
Status,Non-Resident Tuition,26,,32,,10,,,,68,,
,Tuition Exemption/Waiver,15,,38,,10,,,,63,,
Residency,Texas Resident,493,,87,,14,,,,594,,
Status,"Non-TX, US Resident",28,,18,,5,,,,51,,
,"Non-TX, Non-US Resident",13,,52,,15,,,,80,,
SCH,< 6 SCH,166,,66,,11,,,,243,,
Categories,6-8 SCH,180,,68,,20,,,,268,,
,9-11 SCH,97,,12,,,,,,109,,
,12-14 SCH,77,,7,,3,,,,87,,
,15-17 SCH,13,,4,,,,,,17,,
,>17 SCH,1,,,,,,,,1,,
"Prepared by OISP, 12 Oct 00",,,,,,,,,,,,
