Summer 2000,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,658,,44,,80,,130,,912,,
Gender,Male,213,,21,,41,,42,,317,,
,Female,445,,23,,39,,88,,595,,
Ethnic,White,516,,34,,46,,119,,715,,
Origin,Black,28,,,,1,,,,29,,
,Hispanic,70,,2,,4,,6,,82,,
,Asian,30,,1,,3,,4,,38,,
,American Indian,6,,,,,,1,,7,,
,International,2,,7,,25,,,,34,,
,Unknown/Other,6,,,,1,,,,7,,
TAMU Age,<18,2,,,,,,,,2,,
Categories,18-21,386,,,,,,,,386,,
,22-25,246,,16,,3,,52,,317,,
,26-30,15,,17,,34,,59,,125,,
,31-39,6,,9,,31,,16,,62,,
,40+,3,,2,,12,,3,,20,,
Enrollment,1st Time in College,8,,,,,,,,8,,
Status,1st Time PB,1,,,,,,,,1,,
,1st Time Graduate,,,4,,2,,,,6,,
,1st Time Transfer,2,,,,,,,,2,,
,Re Admitted,8,,,,,,,,8,,
,Continuing,639,,40,,78,,130,,887,,
Tuition,Resident Tuition,636,,26,,31,,124,,817,,
Status,Non-Resident Tuition,9,,2,,9,,,,20,,
,Tuition Exemption/Waiver,13,,16,,40,,6,,75,,
Residency,Texas Resident,636,,26,,31,,124,,817,,
Status,"Non-TX, US Resident",19,,11,,24,,6,,60,,
,"Non-TX, Non-US Resident",3,,7,,25,,,,35,,
SCH,< 6 SCH,243,,22,,20,,3,,288,,
Categories,6-8 SCH,276,,20,,58,,127,,481,,
,9-11 SCH,101,,,,2,,,,103,,
,12-14 SCH,36,,2,,,,,,38,,
,15-17 SCH,2,,,,,,,,2,,
,>17 SCH,,,,,,,,,,,
"Prepared by OISP, 12 Oct 00",,,,,,,,,,,,
