Summer 2000,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,,,2,,,,,,2,,
Gender,Male,,,1,,,,,,1,,
,Female,,,1,,,,,,1,,
Ethnic,White,,,1,,,,,,1,,
Origin,Black,,,,,,,,,,,
,Hispanic,,,,,,,,,,,
,Asian,,,,,,,,,,,
,American Indian,,,,,,,,,,,
,International,,,,,,,,,,,
,Unknown/Other,,,1,,,,,,1,,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,,,,,,,,,,,
,22-25,,,1,,,,,,1,,
,26-30,,,1,,,,,,1,,
,31-39,,,,,,,,,,,
,40+,,,,,,,,,,,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Re Admitted,,,,,,,,,,,
,Continuing,,,2,,,,,,2,,
Tuition,Resident Tuition,,,1,,,,,,1,,
Status,Non-Resident Tuition,,,,,,,,,,,
,Tuition Exemption/Waiver,,,1,,,,,,1,,
Residency,Texas Resident,,,1,,,,,,1,,
Status,"Non-TX, US Resident",,,1,,,,,,1,,
,"Non-TX, Non-US Resident",,,,,,,,,,,
SCH,< 6 SCH,,,2,,,,,,2,,
Categories,6-8 SCH,,,,,,,,,,,
,9-11 SCH,,,,,,,,,,,
,12-14 SCH,,,,,,,,,,,
,15-17 SCH,,,,,,,,,,,
,>17 SCH,,,,,,,,,,,
"Prepared by OISP, 12 Oct 00",,,,,,,,,,,,
