Summer 2000,,Undergraduate,,,,,,,,,Masters,,,,,PhD,,,,Professional,Total,
,,1st Time in College,,1st Time PB,1st Time Transfer,,Re Admitted,,Contin uing,,1st Time Graduate,,1st Time Transfer,Contin uing,,1st Time Graduate,,Contin uing,,Continuing,,
Architecture,ARCH,,2,,,1,,1,,151,,10,,,51,,2,,11,,74,
,COMG,,,,,,,,,,,2,,,18,,,,,,20,
,COSC,,,,,,,,,,,,,,,,,,,,151,
,COSL,,,,,,,,,55,,,,,,,,,,,59,
,ENDL,,1,,,2,,1,,81,,,,,,,,,,,85,
,ENDS,,,,,,,,,210,,,,,,,,,,,210,
,LADE,,,,,,,,,,,2,,,1,,,,,,3,
,LAND,,,,,,,,,18,,,,,17,,,,,,35,
,LANL,,,,,,,,,11,,,,,,,,,,,11,
,LDEV,,,,,,,,,,,,,,16,,,,,,16,
,URPL,,,,,,,,,,,,,,9,,,,,,9,
,URSC,,,,,,,,,,,,,,,,,,21,,21,
,VIZA,,,,,,,,,,,,,,31,,,,,,31,
,Sub-Total,3,,,3,,2,,526,,14,,,143,,2,,32,,,725,
Business,ACCT,,,,,2,,,,443,,39,,,47,,,,18,,549,
Admin,AGBU,,,,,,,,,3,,,,,,,,,,,3,
,BUAD,,10,,,10,,4,,430,,,,,81,,,,,,535,
,BUAG,,,,,,,,,2,,,,,,,,,,,2,
,FINC,,,,,4,,3,,347,,48,,,38,,,,7,,447,
,INFO,,,,,1,,5,,388,,,,,,,,,16,,410,
,MGMT,,,,,,,2,,269,,3,,,26,,,,26,,326,
,MISY,,,,,,,,,,,5,,,38,,,,,,43,
,MKTG,,,,,,,7,,469,,2,,,11,,,,11,,500,
,MLER,,,,,,,,,,,1,,,19,,,,,,20,
,Sub-Total,10,,,17,,21,,2351,,98,,,260,,,,78,,,2835,
Education,CPSY,,,,,,,,,,,,,,,,,,43,,43,
,EDAD,,,,,,,,,,,22,,,49,,3,,145,,219,
,EDCI,,,,,,,,,,,11,,,121,,5,,77,,214,
,EDHL,,,,,6,,1,,98,,,,,,,,,,,105,
,EDIS,,1,,,25,,4,,287,,,,,,,,,,,317,
,EDKI,,,,,12,,2,,142,,,,,,,,,,,156,
,EDTC,,,,,,,,,,,4,,,26,,,,,,30,
,EHRD,,,,,,,,,,,4,,,25,,5,,74,,108,
,EPSY,,,,,,,,,,,7,,,45,,1,,40,,93,
,HEED,,,,,,,,,,,,,,6,,,,7,,13,
,HLTH,,,,,,,2,,131,,,,,,,,,,,133,
,IDTC,,,,,,,,,2,,,,,,,,,,,2,
,INST,,,,,,,1,,310,,,,,,,,,,,311,
,KINE,,,,,,,2,,186,,5,,,24,,,,21,,238,
,PHED,,,,,,,,,,,1,,,8,,,,6,,15,
,SPSY,,,,,,,,,,,1,,,4,,,,33,,38,
,TECR,,,,,,,,,15,,,,,,,,,,,15,
,Sub-Total,1,,,43,,12,,1171,,55,,,308,,14,,446,,,2050,
"Prepared by OISP, 12 Oct 00",,,,,,,,,,,,,,,,,,,,,,
