Summer 2000,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,13319,,2661,,2118,,130,,18228,,
Gender,Male,6764,,1539,,1352,,42,,9697,,
,Female,6555,,1122,,766,,88,,8531,,
Ethnic,White,10587,,1484,,1020,,119,,13210,,
Origin,Black,423,,49,,74,,,,546,,
,Hispanic,1317,,136,,102,,6,,1561,,
,Asian,466,,61,,33,,4,,564,,
,American Indian,60,,7,,7,,1,,75,,
,International,264,,894,,861,,,,2019,,
,Unknown/Other,202,,30,,21,,,,253,,
TAMU Age,<18,7,,,,,,,,7,,
Categories,18-21,6429,,9,,,,,,6438,,
,22-25,6185,,1282,,123,,52,,7642,,
,26-30,456,,809,,823,,59,,2147,,
,31-39,182,,342,,759,,16,,1299,,
,40+,60,,219,,413,,3,,695,,
Enrollment,1st Time in College,284,,,,,,,,284,,
Status,1st Time PB,7,,,,,,,,7,,
,1st Time Graduate,,,261,,49,,,,310,,
,1st Time Transfer,292,,1,,,,,,293,,
,Re Admitted,157,,,,,,,,157,,
,Continuing,12579,,2399,,2069,,130,,17177,,
Tuition,Resident Tuition,12501,,1304,,788,,124,,14717,,
Status,Non-Resident Tuition,501,,400,,266,,,,1167,,
,Tuition Exemption/Waiver,317,,957,,1064,,6,,2344,,
Residency,Texas Resident,12508,,1305,,796,,124,,14733,,
Status,"Non-TX, US Resident",535,,461,,458,,6,,1460,,
,"Non-TX, Non-US Resident",276,,895,,864,,,,2035,,
SCH,< 6 SCH,3863,,829,,667,,3,,5362,,
Categories,6-8 SCH,5268,,1490,,1297,,127,,8182,,
,9-11 SCH,2285,,223,,116,,,,2624,,
,12-14 SCH,1724,,105,,34,,,,1863,,
,15-17 SCH,136,,11,,3,,,,150,,
,>17 SCH,43,,3,,1,,,,47,,
"Prepared by OISP, 12 Oct 00",,,,,,,,,,,,
