Summer 2000,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Geosciences,ATMO,6,,1,,12,,2,,1,,2,,1,,9,,
,ESCI,5,,,,,,,,,,,,,,5,,
,GEOG,90,,,,,,,,,,1,,,,105,,
,GEOL,60,,,,4,,1,,,,14,,1,,80,,
,GEOP,9,,,,,,,,,,19,,1,,29,,
,GEOS,1,,,,,,,,,,,,,,1,,
,METR,60,,,,3,,1,,,,13,,1,,78,,
,OCNG,32,,,,2,,1,,,,22,,3,,60,,
,SubTotal,263,,,,21,,5,,,,71,,7,,367,,
G. Bush,BUSH,25,,,,3,,1,,,,1,,,,31,,
School of,PADM,1,,,,,,,,,,,,,,1,,
Govt,SubTotal,26,,1,,3,,1,,,,1,,,,32,,
Liberal Arts,ANTH,54,,,,6,,3,,,,3,,,,66,,
,ECOL,,,,,,,,,,,1,,,,1,,
,ECON,202,,4,,21,,7,,,,26,,2,,263,,
,ENGL,240,,5,,36,,4,,,,11,,3,,299,,
,FREN,1,,,,1,,,,,,,,,,2,,
,GERM,3,,,,,,,,,,,,,,3,,
,HIST,171,,3,,26,,1,,1,,,,4,,206,,
,INTS,58,,3,,25,,5,,,,3,,2,,96,,
,JOUR,264,,13,,34,,6,,2,,1,,1,,321,,
,MODL,1,,,,1,,,,,,,,,,2,,
,PHIL,22,,,,3,,2,,,,,,1,,28,,
,POLS,269,,8,,26,,3,,1,,9,,4,,320,,
,PSYC,422,,20,,65,,17,,4,,6,,8,,542,,
,RUSS,2,,,,,,,,,,,,,,2,,
,SCOM,214,,10,,17,,2,,3,,1,,4,,251,,
,SOCI,120,,12,,20,,3,,1,,9,,1,,166,,
,SPAN,13,,,,16,,1,,,,,,1,,31,,
,STJR,6,,,,,,,,1,,3,,1,,11,,
,THAR,10,,1,,7,,,,,,,,,,18,,
,SubTotal,2072,,79,,304,,54,,14,,73,,32,,2628,,
"Prepared by OISP, 12 Oct 00",,,,,,,,,,,,,,,,,,
