Summer 2000,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,2260,,441,,381,,,,3082,,
Gender,Male,1197,,219,,239,,,,1655,,
,Female,1063,,222,,142,,,,1427,,
Ethnic,White,1902,,325,,209,,,,2436,,
Origin,Black,75,,2,,3,,,,80,,
,Hispanic,170,,20,,11,,,,201,,
,Asian,37,,9,,8,,,,54,,
,American Indian,7,,1,,,,,,8,,
,International,28,,82,,143,,,,253,,
,Unknown/Other,41,,2,,7,,,,50,,
TAMU Age,<18,1,,,,,,,,1,,
Categories,18-21,910,,2,,,,,,912,,
,22-25,1218,,245,,26,,,,1489,,
,26-30,91,,132,,153,,,,376,,
,31-39,30,,44,,147,,,,221,,
,40+,10,,18,,55,,,,83,,
Enrollment,1st Time in College,7,,,,,,,,7,,
Status,1st Time PB,5,,,,,,,,5,,
,1st Time Graduate,,,39,,6,,,,45,,
,1st Time Transfer,82,,1,,,,,,83,,
,Re Admitted,41,,,,,,,,41,,
,Continuing,2125,,401,,375,,,,2901,,
Tuition,Resident Tuition,2139,,254,,122,,,,2515,,
Status,Non-Resident Tuition,69,,45,,57,,,,171,,
,Tuition Exemption/Waiver,52,,142,,202,,,,396,,
Residency,Texas Resident,2141,,254,,124,,,,2519,,
Status,"Non-TX, US Resident",91,,105,,112,,,,308,,
,"Non-TX, Non-US Resident",28,,82,,145,,,,255,,
SCH,< 6 SCH,695,,147,,99,,,,941,,
Categories,6-8 SCH,834,,269,,273,,,,1376,,
,9-11 SCH,394,,20,,6,,,,420,,
,12-14 SCH,285,,5,,3,,,,293,,
,15-17 SCH,29,,,,,,,,29,,
,>17 SCH,23,,,,,,,,23,,
"Prepared by OISP, 12 Oct 00",,,,,,,,,,,,
