Undergraduate  Students,,,,,,,,,
Summer 2000,,,,,,,,,
Summer 2000,,"U0: UG
Non-Degree","U1:
Freshmen","U2:
Sophomore","U3:
Junior","U4:
Senior",U5: UG Post Baccalaureate,"GRAND
Total",
Head Count,Total,118,596,1603,4163,6778,61,13319,
Gender,Male,53,346,816,2031,3489,29,6764,
,Female,65,250,787,2132,3289,32,6555,
Ethnic Origin,White,55,401,1304,3401,5376,50,10587,
,Black,17,47,49,115,195,,423,
,Hispanic,32,94,135,349,702,5,1317,
,Asian,6,23,57,143,233,4,466,
,American Indian,1,2,10,20,27,,60,
,International,7,16,30,62,148,1,264,
,Unknown/Other,,13,18,73,97,1,202,
TAMU Age,<18,2,4,1,,,,7,
Categories,18-21,58,581,1515,2937,1338,,6429,
,22-25,37,9,68,1123,4928,20,6185,
,26-30,9,1,15,72,343,16,456,
,31-39,9,1,3,23,127,19,182,
,40+,3,,1,8,42,6,60,
College,Agriculture,13,43,234,731,1217,22,2260,
,Architecture,1,13,49,156,314,1,534,
,Business Admin,4,35,194,820,1345,1,2399,
,Education,1,16,120,336,742,12,1227,
,Engineering,33,181,378,820,1325,16,2753,
,Geosciences,1,6,17,56,98,1,179,
,Liberal Arts,15,38,253,828,1161,3,2298,
,Science,38,16,60,161,239,1,515,
,Veterinary Medicine,4,23,91,199,337,4,658,
,General Studies,4,225,207,56,,,492,
,Exchange,4,,,,,,4,
Enrollment,1st Time in College,,278,2,3,1,,284,
Status,1st Time PB,,,,,,7,7,
,1st Time Transfer,,16,128,127,20,1,292,
,Re Admitted,,4,22,48,83,,157,
,Continuing,118,298,1451,3985,6674,53,12579,
Tuition Status,Resident Tuition,71,550,1512,3960,6351,57,12501,
,Non-Resident Tuition,31,38,59,121,249,3,501,
,Tuition Exemption/Waiver,16,8,32,82,178,1,317,
Residency,Texas Resident,72,550,1512,3962,6355,57,12508,
Status,"Non-TX, US Resident",39,30,58,137,268,3,535,
,"Non-TX, Non-US Resident",7,16,33,64,155,1,276,
SCH Categories,< 6 SCH,84,190,551,1218,1795,25,3863,
,6-8 SCH,30,262,706,1782,2465,23,5268,
,9-11 SCH,3,44,208,697,1323,10,2285,
,12-14 SCH,1,100,137,434,1050,2,1724,
,15-17 SCH,,,1,24,110,1,136,
,>17 SCH,,,,8,35,,43,
"Prepared by OISP, 12 Oct 00",,,,,,,,,
