Summer 2000,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,2298,,140,,190,,,,2628,,
Gender,Male,867,,67,,107,,,,1041,,
,Female,1431,,73,,83,,,,1587,,
Ethnic,White,1840,,93,,139,,,,2072,,
Origin,Black,73,,5,,1,,,,79,,
,Hispanic,284,,9,,11,,,,304,,
,Asian,46,,5,,3,,,,54,,
,American Indian,12,,1,,1,,,,14,,
,International,18,,22,,33,,,,73,,
,Unknown/Other,25,,5,,2,,,,32,,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,1041,,1,,,,,,1042,,
,22-25,1132,,46,,10,,,,1188,,
,26-30,82,,50,,88,,,,220,,
,31-39,30,,29,,59,,,,118,,
,40+,13,,14,,33,,,,60,,
Enrollment,1st Time in College,6,,,,,,,,6,,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,4,,4,,,,8,,
,1st Time Transfer,53,,,,,,,,53,,
,Re Admitted,40,,,,,,,,40,,
,Continuing,2199,,136,,186,,,,2521,,
Tuition,Resident Tuition,2199,,72,,85,,,,2356,,
Status,Non-Resident Tuition,55,,18,,14,,,,87,,
,Tuition Exemption/Waiver,44,,50,,91,,,,185,,
Residency,Texas Resident,2200,,72,,86,,,,2358,,
Status,"Non-TX, US Resident",79,,46,,71,,,,196,,
,"Non-TX, Non-US Resident",19,,22,,33,,,,74,,
SCH,< 6 SCH,501,,67,,102,,,,670,,
Categories,6-8 SCH,959,,63,,83,,,,1105,,
,9-11 SCH,410,,6,,4,,,,420,,
,12-14 SCH,379,,4,,1,,,,384,,
,15-17 SCH,41,,,,,,,,41,,
,>17 SCH,8,,,,,,,,8,,
"Prepared by OISP, 12 Oct 00",,,,,,,,,,,,
