Summer 2000,,Undergraduate,,Masters,,PhD,,Professional,,GRAND Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,,,32,,,,,,32,,
Gender,Male,,,18,,,,,,18,,
,Female,,,14,,,,,,14,,
Ethnic,White,,,26,,,,,,26,,
Origin,Black,,,1,,,,,,1,,
,Hispanic,,,3,,,,,,3,,
,Asian,,,1,,,,,,1,,
,American Indian,,,,,,,,,,,
,International,,,1,,,,,,1,,
,Unknown/Other,,,,,,,,,,,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,,,,,,,,,,,
,22-25,,,22,,,,,,22,,
,26-30,,,8,,,,,,8,,
,31-39,,,,,,,,,,,
,40+,,,2,,,,,,2,,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,4,,,,,,4,,
,1st Time Transfer,,,,,,,,,,,
,Re Admitted,,,,,,,,,,,
,Continuing,,,28,,,,,,28,,
Tuition,Resident Tuition,,,20,,,,,,20,,
Status,Non-Resident Tuition,,,,,,,,,,,
,Tuition Exemption/Waiver,,,12,,,,,,12,,
Residency,Texas Resident,,,20,,,,,,20,,
Status,"Non-TX, US Resident",,,11,,,,,,11,,
,"Non-TX, Non-US Resident",,,1,,,,,,1,,
SCH,< 6 SCH,,,4,,,,,,4,,
Categories,6-8 SCH,,,28,,,,,,28,,
,9-11 SCH,,,,,,,,,,,
,12-14 SCH,,,,,,,,,,,
,15-17 SCH,,,,,,,,,,,
,>17 SCH,,,,,,,,,,,
"Prepared by OISP, 12 Oct 00",,,,,,,,,,,,
