First Generation Students (College Station Campus),,,,,,,,,,
Fall 2011,,,,,,,,,,
Fall 2011,,First Generation Undergraduates,,,,,,Grand Total,,
,,Unknown,,Yes,,No,,#,%,
,,#,%,#,%,#,%,,,
Headcount Total,,"1,457",3.7%,"10,313",25.9%,"28,097",70.5%,"39,867",100.0%,
Gender,Female,525,2.8%,"5,190",27.4%,"13,234",69.8%,"18,949",100.0%,
Male,,932,4.5%,"5,123",24.5%,"14,863",71.1%,"20,918",100.0%,
Ethnicity,White Only (NEW),480,1.7%,"5,500",19.5%,"22,276",78.8%,"28,256",100.0%,
American Indian Only (NEW),,5,3.7%,28,20.6%,103,75.7%,136,100.0%,
Asian Only (NEW),,70,3.7%,588,31.2%,"1,225",65.1%,"1,883",100.0%,
Black Only + 2 or more/1 Black (NEW),,70,5.3%,613,46.2%,645,48.6%,"1,328",100.0%,
Hispanic or Latino of any Race (NEW),,162,2.4%,"3,386",50.2%,"3,191",47.4%,"6,739",100.0%,
Native Hawaii Only (New),,1,2.2%,11,24.4%,33,73.3%,45,100.0%,
2 or More/Excluding Black (NEW),,15,2.0%,171,22.6%,571,75.4%,757,100.0%,
International,,634,97.8%,3,.5%,11,1.7%,648,100.0%,
Unknown or Not Reported,,20,26.7%,13,17.3%,42,56.0%,75,100.0%,
TAMU Age Categories,<18,9,14.1%,7,10.9%,48,75.0%,64,100.0%,
18-21,,910,3.0%,"7,597",24.9%,"21,987",72.1%,"30,494",100.0%,
22-25,,457,5.4%,"2,330",27.5%,"5,693",67.1%,"8,480",100.0%,
26-30,,45,8.6%,233,44.3%,248,47.1%,526,100.0%,
31-39,,26,11.9%,102,46.8%,90,41.3%,218,100.0%,
40+,,10,11.8%,44,51.8%,31,36.5%,85,100.0%,
College,Agriculture,174,3.1%,"1,751",31.1%,"3,706",65.8%,"5,631",100.0%,
Architecture,,34,2.5%,393,28.5%,951,69.0%,"1,378",100.0%,
Business Admin,,104,2.5%,815,19.6%,"3,241",77.9%,"4,160",100.0%,
Education,,71,1.8%,"1,033",26.6%,"2,782",71.6%,"3,886",100.0%,
Engineering,,477,5.7%,"1,711",20.5%,"6,141",73.7%,"8,329",100.0%,
Geosciences,,39,5.7%,188,27.4%,458,66.9%,685,100.0%,
Liberal Arts,,194,3.0%,"1,808",28.2%,"4,417",68.8%,"6,419",100.0%,
Science,,88,3.7%,639,26.7%,"1,662",69.6%,"2,389",100.0%,
Veterinary Medicine,,26,1.5%,467,27.5%,"1,207",71.0%,"1,700",100.0%,
General Studies,,181,3.5%,"1,508",28.9%,"3,531",67.6%,"5,220",100.0%,
Other - Special Populations,,69,98.6%,,,1,1.4%,70,100.0%,
Enrollment Status,1st Time in College,251,3.0%,"2,064",25.0%,"5,939",72.0%,"8,254",100.0%,
1st Time Transfer,,150,8.4%,540,30.4%,"1,086",61.1%,"1,776",100.0%,
Readmitted,,3,.7%,136,29.5%,322,69.8%,461,100.0%,
Continuing,,"1,053",3.6%,"7,573",25.8%,"20,750",70.6%,"29,376",100.0%,
Tuition Status,Resident Tuition,769,2.1%,"9,759",26.5%,"26,298",71.4%,"36,826",100.0%,
Non-Resident Tuition,,459,49.6%,70,7.6%,397,42.9%,926,100.0%,
Tuition Exemption/Waiver,,229,10.8%,484,22.9%,"1,402",66.3%,"2,115",100.0%,
Residency Status,Texas Resident,800,2.1%,"10,132",26.7%,"27,086",71.2%,"38,018",100.0%,
"Non-TX, US Resident",,33,2.8%,177,14.8%,990,82.5%,"1,200",100.0%,
"Non-TX, Non-US Resident",,624,96.1%,4,.6%,21,3.2%,649,100.0%,
SCH Categories,< 6 SCH,44,3.4%,304,23.3%,959,73.4%,"1,307",100.0%,
6-8 SCH,,36,3.8%,271,28.7%,637,67.5%,944,100.0%,
9-11 SCH,,29,2.2%,352,26.5%,948,71.3%,"1,329",100.0%,
12-14 SCH,,774,3.6%,"5,844",27.3%,"14,808",69.1%,"21,426",100.0%,
15-17 SCH,,509,3.6%,"3,340",23.8%,"10,192",72.6%,"14,041",100.0%,
>17 SCH,,65,7.9%,202,24.6%,553,67.4%,820,100.0%,
Ft/Pt: TAMU Status,Less Than Half Time,45,3.6%,285,23.1%,904,73.3%,"1,234",100.0%,
Half-Time,,70,3.3%,582,27.5%,"1,466",69.2%,"2,118",100.0%,
Full-Time,,"1,342",3.7%,"9,446",25.9%,"25,727",70.5%,"36,515",100.0%,
Top 10% Texas High School,No,"1,192",5.1%,"4,996",21.5%,"17,074",73.4%,"23,262",100.0%,
Yes,,265,1.6%,"5,317",32.0%,"11,023",66.4%,"16,605",100.0%,
"Prepared by DARS, 25 Jan 12",,,,,,,,,,
Page 188,,,,,,,,,,
