Fall 2011,,White Only (NEW),,,American Indian Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,299,270,569,,,,24,17,41,14,10,24,48,38,86,,,,7,4,11,2,,2,,,,394,339,733,
"TAMU Age Categories
Classification
Tuition Status
Residency Status
SCH Categories
Ft/Pt: TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",<18,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
,18-21,299,269,568,,,,24,17,41,14,10,24,48,38,86,,,,7,4,11,2,,2,,,,394,338,732,
,22-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Freshman,283,250,533,,,,22,16,38,11,10,21,41,37,78,,,,7,4,11,2,,2,,,,366,317,683,
,Sophomore,15,18,33,,,,2,1,3,2,,2,6,1,7,,,,,,,,,,,,,25,20,45,
,Junior,1,2,3,,,,,,,1,,1,1,,1,,,,,,,,,,,,,3,2,5,
,Resident Tuition,277,255,532,,,,24,17,41,11,8,19,42,35,77,,,,6,4,10,,,,,,,360,319,679,
,Non-Resident Tuition,1,2,3,,,,,,,,,,2,,2,,,,,,,2,,2,,,,5,2,7,
,Tuition,21,13,34,,,,,,,3,2,5,4,3,7,,,,1,,1,,,,,,,29,18,47,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,295,266,561,,,,24,17,41,14,9,23,45,38,83,,,,7,4,11,,,,,,,385,334,719,
,"Non-TX, US Resident",4,4,8,,,,,,,,1,1,3,,3,,,,,,,,,,,,,7,5,12,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,,,,,,,2,,2,,,,2,,2,
,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6-8 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9-11 SCH,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,12-14 SCH,200,185,385,,,,15,9,24,13,7,20,34,22,56,,,,7,3,10,,,,,,,269,226,495,
,15-17 SCH,98,85,183,,,,9,8,17,1,3,4,14,15,29,,,,,1,1,2,,2,,,,124,112,236,
,>17 SCH,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,1,
,Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Half-Time,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,Full-Time,297,270,567,,,,24,17,41,14,10,24,48,38,86,,,,7,4,11,2,,2,,,,392,339,731,
,No,66,104,170,,,,8,11,19,,3,3,12,10,22,,,,3,1,4,2,,2,,,,91,129,220,
,Yes,233,166,399,,,,16,6,22,14,7,21,36,28,64,,,,4,3,7,,,,,,,303,210,513,
,No,251,242,493,,,,14,13,27,1,4,5,30,22,52,,,,5,4,9,,,,,,,301,285,586,
,Unknown,7,1,8,,,,1,1,2,,1,1,,,,,,,,,,2,,2,,,,10,3,13,
,Yes,41,27,68,,,,9,3,12,13,5,18,18,16,34,,,,2,,2,,,,,,,83,51,134,
,Off-campus,102,82,184,,,,5,6,11,4,3,7,10,12,22,,,,,1,1,1,,1,,,,122,104,226,
,Dorm (On-campus),197,188,385,,,,19,11,30,10,7,17,38,26,64,,,,7,3,10,1,,1,,,,272,235,507,
"Prepared by DARS, 09 Jan 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
