Fall 2011,,White Only (NEW),,,American Indian Only (NEW),,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,15,28,43,,,3,3,6,1,1,2,6,6,12,,,,,,,7,5,12,1,1,2,33,44,77,
"TAMU Age Categories
Classification
Tuition Status
Residency Status
SCH Categories
Ft/Pt: TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",<18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18-21,15,21,36,,,1,2,3,1,1,2,4,3,7,,,,,,,6,3,9,1,1,2,28,31,59,
,22-25,,5,5,,,,1,1,,,,1,3,4,,,,,,,1,2,3,,,,2,11,13,
,26-30,,2,2,,,1,,1,,,,1,,1,,,,,,,,,,,,,2,2,4,
,31-39,,,,,,1,,1,,,,,,,,,,,,,,,,,,,1,,1,
,40+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Freshman,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
,Sophomore,4,14,18,,,2,,2,,,,,,,,,,,,,2,3,5,,,,8,17,25,
,Junior,9,13,22,,,1,3,4,1,1,2,5,6,11,,,,,,,4,2,6,1,1,2,21,26,47,
,Senior,2,,2,,,,,,,,,1,,1,,,,,,,1,,1,,,,4,,4,
,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resident Tuition,13,24,37,,,3,3,6,1,1,2,6,6,12,,,,,,,,,,,,,23,34,57,
,Non-Resident  Tuition,1,2,3,,,,,,,,,,,,,,,,,,4,2,6,,1,1,5,5,10,
,Tuition,1,2,3,,,,,,,,,,,,,,,,,,3,3,6,1,,1,5,5,10,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,14,25,39,,,3,3,6,1,1,2,6,6,12,,,,,,,,,,1,1,2,25,36,61,
,"Non-TX, US Resident",1,3,4,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,,,,,,7,5,12,,,,7,5,12,
,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,< 6 SCH,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
,6-8 SCH,,,,,,1,,1,,,,,,,,,,,,,,,,,,,1,,1,
,9-11 SCH,,1,1,,,,,,1,,1,,,,,,,,,,,,,,,,1,1,2,
,12-14 SCH,9,20,29,,,2,3,5,,,,5,5,10,,,,,,,3,2,5,1,1,2,20,31,51,
,15-17 SCH,6,6,12,,,,,,,1,1,1,1,2,,,,,,,3,2,5,,,,10,10,20,
,>17 SCH,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,1,1,2,
,Less Than Half Time,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
,Half-Time,,1,1,,,1,,1,1,,1,,,,,,,,,,,,,,,,2,1,3,
,Full-Time,15,26,41,,,2,3,5,,1,1,6,6,12,,,,,,,7,5,12,1,1,2,31,42,73,
,No,11,26,37,,,3,3,6,1,1,2,4,4,8,,,,,,,7,5,12,1,1,2,27,40,67,
,Yes,4,2,6,,,,,,,,,2,2,4,,,,,,,,,,,,,6,4,10,
,No,9,17,26,,,1,1,2,1,1,2,2,1,3,,,,,,,,,,,1,1,13,21,34,
,Unknown,,,,,,,,,,,,,,,,,,,,,7,5,12,1,,1,8,5,13,
,Yes,6,11,17,,,2,2,4,,,,4,5,9,,,,,,,,,,,,,12,18,30,
,Off-campus,15,28,43,,,3,3,6,1,1,2,5,5,10,,,,,,,7,5,12,1,1,2,32,43,75,
,Dorm  (On-campus),,,,,,,,,,,,1,1,2,,,,,,,,,,,,,1,1,2,
"Prepared by DARS, 09 Jan 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
