American Indian Only (NEW),,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,
Fall 2011,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Science                             APHY,,,,,,,,,,1,1,,,1,
APMS,,,,,,,,,,,,,,,
BIOL,3,,1,3,,7,,,,,,,,7,
BMCB,,,,,,,,,,,,,,,
BOTN,,,,,,,,,,,,,,,
CHEM,,1,,,,1,,,,1,1,,,2,
GENE,,,,,,,,,,,,,,,
MATH,,,,1,,1,,,,,,,,1,
MBIO,,,,,,,,,,,,,,,
MEPS,,,,,,,,,,,,,,,
MSEN,,,,,,,,,,,,,,,
PHYS,,,,,,,,,,,,,,,
STAT,,,,,,,1,,1,,,,,1,
USSC,,,,,,,,,,,,,,,
ZOOL,,,,,,,,,,,,,,,
Subtotal,3,1,1,4,,9,1,,1,2,2,,,12,
Veterinary Medicine     BIMS,2,1,1,2,,6,,1,1,,,,,7,
BIOT,,,,,,,,,,,,,,,
EPID,,,,,,,,,,,,,,,
GENE,,,,,,,,,,,,,,,
LAMD,,,,,,,,,,,,,,,
STJR,,,,,,,,,,,,,,,
TOXI,,,,,,,,,,,,,,,
USVM,,,,,,,,,,,,,,,
VPAT,,,,,,,,,,,,,,,
VPHY,,,,,,,,,,,,,,,
VTMD,,,,,,,,,,,,1,1,1,
VTMI,,,,,,,,,,,,,,,
VTPH,,,,,,,,,,,,,,,
Subtotal,2,1,1,2,,6,,1,1,,,1,1,8,
General Studies             GEST,5,7,,,,12,,,,,,,,12,
TEAM,1,,,,,1,,,,,,,,1,
Subtotal,6,7,,,,13,,,,,,,,13,
