Demographic Summary by Classification,,,,,,
First-Time In College Students (College Station Campus) Top 10% Texas High School Students,,,,,,
Fall 2011,,,,,,
Fall 2011,,Freshman,Sophomore,Junior,Grand Total,
Headcount Total,,"4,044",378,40,"4,462",
Gender,Female,"2,223",205,26,"2,454",
Male,,"1,821",173,14,"2,008",
Ethnicity,White Only (NEW),"2,627",247,13,"2,887",
American Indian Only (NEW),,10,,,10,
Asian Only (NEW),,201,21,3,225,
Black Only + 2 or more/1 Black (NEW),,164,7,7,178,
Hispanic or Latino of any Race (NEW),,932,95,17,"1,044",
Native Hawaii Only (New),,4,,,4,
2 or More/Excluding Black (NEW),,98,8,,106,
International,,1,,,1,
Unknown or Not Reported,,7,,,7,
TAMU Age Categories,<18,26,3,1,30,
18-21,,"4,016",375,39,"4,430",
22-25,,2,,,2,
College,Agriculture,329,39,4,372,
Architecture,,112,9,,121,
Business Admin,,478,32,3,513,
Education,,293,23,3,319,
Engineering,,952,90,7,"1,049",
Geosciences,,66,5,1,72,
Liberal Arts,,314,45,4,363,
Science,,477,53,10,540,
Veterinary  Medicine,,390,50,6,446,
General Studies,,633,32,2,667,
Enrollment Status,1st Time in College,"4,044",378,40,"4,462",
Tuition Status,Resident Tuition,"3,754",324,31,"4,109",
Tuition  Exemption/Waiver,,290,54,9,353,
Residency Status,Texas Resident,"4,043",378,40,"4,461",
"Non-TX, Non-US Resident",,1,,,1,
SCH Categories,< 6 SCH,2,,,2,
6-8 SCH,,7,,,7,
9-11 SCH,,22,,,22,
12-14 SCH,,"2,502",223,27,"2,752",
15-17 SCH,,"1,501",153,13,"1,667",
>17 SCH,,10,2,,12,
Ft/Pt: TAMU Status,Less Than Half Time,2,,,2,
Half-Time,,35,,,35,
Full-Time,,"4,007",378,40,"4,425",
First Generation,No,"2,638",255,20,"2,913",
Unknown,,100,10,,110,
Yes,,"1,306",113,20,"1,439",
"Prepared by DARS, 25 Jan 12",,,,,,
Page 187,,,,,,
