Fall 2011,,White Only (NEW),,,American Indian Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,329,63,392,,,,7,5,12,11,9,20,68,29,97,,,,11,2,13,2,,2,,,,428,108,536,
"TAMU Age Categories
Classification
Tuition Status
Residency Status
SCH Categories
Ft/Pt: TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",<18,1,,1,,,,,,,,,,1,,1,,,,1,,1,,,,,,,3,,3,
,18-21,328,63,391,,,,7,5,12,11,9,20,67,29,96,,,,10,2,12,2,,2,,,,425,108,533,
,22-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Freshman,310,62,372,,,,7,5,12,9,9,18,63,26,89,,,,8,2,10,2,,2,,,,399,104,503,
,Sophomore,18,1,19,,,,,,,2,,2,4,2,6,,,,3,,3,,,,,,,27,3,30,
,Junior,1,,1,,,,,,,,,,1,1,2,,,,,,,,,,,,,2,1,3,
,Resident Tuition,298,59,357,,,,7,4,11,9,8,17,60,27,87,,,,10,2,12,,,,,,,384,100,484,
,Non-Resident Tuition,4,2,6,,,,,1,1,1,,1,,,,,,,,,,1,,1,,,,6,3,9,
,Tuition,27,2,29,,,,,,,1,1,2,8,2,10,,,,1,,1,1,,1,,,,38,5,43,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,323,59,382,,,,7,4,11,9,8,17,68,29,97,,,,11,2,13,,,,,,,418,102,520,
,"Non-TX, US Resident",6,4,10,,,,,1,1,2,1,3,,,,,,,,,,,,,,,,8,6,14,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,,,,,,,2,,2,,,,2,,2,
,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6-8 SCH,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,9-11 SCH,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,12-14 SCH,223,51,274,,,,6,3,9,10,7,17,41,23,64,,,,9,2,11,2,,2,,,,291,86,377,
,15-17 SCH,103,12,115,,,,1,2,3,1,2,3,27,6,33,,,,2,,2,,,,,,,134,22,156,
,>17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Half-Time,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,
,Full-Time,326,63,389,,,,7,5,12,11,9,20,68,29,97,,,,11,2,13,2,,2,,,,425,108,533,
,No,137,32,169,,,,4,3,7,5,7,12,16,7,23,,,,4,,4,2,,2,,,,168,49,217,
,Yes,192,31,223,,,,3,2,5,6,2,8,52,22,74,,,,7,2,9,,,,,,,260,59,319,
,No,270,55,325,,,,2,3,5,2,4,6,28,12,40,,,,10,1,11,,,,,,,312,75,387,
,Unknown,1,1,2,,,,,1,1,3,,3,5,,5,,,,,1,1,2,,2,,,,11,3,14,
,Yes,58,7,65,,,,5,1,6,6,5,11,35,17,52,,,,1,,1,,,,,,,105,30,135,
,Off-campus,131,34,165,,,,,3,3,6,7,13,21,9,30,,,,4,,4,1,,1,,,,163,53,216,
,Dorm (On-campus),198,29,227,,,,7,2,9,5,2,7,47,20,67,,,,7,2,9,1,,1,,,,265,55,320,
"Prepared by DARS, 09 Jan 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
