Fall 2011,,White Only (NEW),,,American Indian Only (NEW),,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,1,3,4,,,2,,2,,,,,,,,,,,,,,1,1,,,,3,4,7,
"TAMU Age Categories
Classification
Tuition Status
Residency Status
SCH Categories
Ft/Pt: TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",<18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18-21,,3,3,,,1,,1,,,,,,,,,,,,,,,,,,,1,3,4,
,22-25,1,,1,,,,,,,,,,,,,,,,,,,1,1,,,,1,1,2,
,26-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40+,,,,,,1,,1,,,,,,,,,,,,,,,,,,,1,,1,
,Freshman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sophomore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Junior,,3,3,,,2,,2,,,,,,,,,,,,,,1,1,,,,2,4,6,
,Senior,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resident Tuition,1,3,4,,,2,,2,,,,,,,,,,,,,,,,,,,3,3,6,
,Non-Resident  Tuition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tuition,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,1,3,4,,,2,,2,,,,,,,,,,,,,,,,,,,3,3,6,
,"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,
,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6-8 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9-11 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12-14 SCH,1,1,2,,,,,,,,,,,,,,,,,,,1,1,,,,1,2,3,
,15-17 SCH,,2,2,,,2,,2,,,,,,,,,,,,,,,,,,,2,2,4,
,>17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Half-Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Full-Time,1,3,4,,,2,,2,,,,,,,,,,,,,,1,1,,,,3,4,7,
,No,1,2,3,,,1,,1,,,,,,,,,,,,,,1,1,,,,2,3,5,
,Yes,,1,1,,,1,,1,,,,,,,,,,,,,,,,,,,1,1,2,
,No,,2,2,,,1,,1,,,,,,,,,,,,,,,,,,,1,2,3,
,Unknown,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,
,Yes,1,1,2,,,1,,1,,,,,,,,,,,,,,,,,,,2,1,3,
,Off-campus,,3,3,,,1,,1,,,,,,,,,,,,,,1,1,,,,1,4,5,
,Dorm  (On-campus),1,,1,,,1,,1,,,,,,,,,,,,,,,,,,,2,,2,
"Prepared by DARS, 09 Jan 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
