2 or More/Excluding Black (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,,
Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Agriculture,ABME,,,,,,,,,,,,,,,
,ADEV,,,,,,,,1,1,,,,,1,
,AGBL,2,2,,,,4,,,,,,,,4,
,AGBU,,,1,1,,2,,1,1,,,,,3,
,AGCJ,,,2,3,,5,,,,,,,,5,
,AGEC,,,2,4,,6,,1,1,,,,,7,
,AGLS,,,,,,,,,,,,,,,
,AGRO,,,2,1,,3,,,,,,,,3,
,AGSC,,1,,,,1,,,,,,,,1,
,AGSM,,1,,,,1,,,,,,,,1,
,ALEC,,,,,,,,,,,,,,,
,ALED,,2,2,1,,5,,,,,,,,5,
,ANBR,,,,,,,,,,,,,,,
,ANSC,3,2,4,4,,13,,1,1,,,,,14,
,BAEN,1,2,1,2,,6,,,,,,,,6,
,BESC,,,2,3,,5,,,,,,,,5,
,BICH,1,1,,2,1,5,,2,2,,,,,7,
,BIOT,,,,,,,,,,,,,,,
,CDEV,,,,,,,,,,,,,,,
,DASC,,,,,,,,,,,,,,,
,ECOR,,,,,,,,,,,,,,,
,ENST,,,,,,,,,,,,,,,
,ENTO,1,1,1,1,,4,,,,,,,,4,
,FISC,,,,,,,,,,,,,,,
,FIVL,2,1,,,,3,,,,,,,,3,
,FIVS,,,,1,,1,,,,,,,,1,
,FLOR,,,,,,,,,,,,,,,
,FORS,,,,,,,,,,,,,,,
,FSTC,,1,1,3,,5,,,,,,,,5,
,GENE,2,,,2,,4,,,,,,,,4,
,HORT,,1,,1,,2,,,,,,,,2,
,MEPS,,,,,,,,,,,,,,,
,NRDV,,,,,,,,1,1,,,,,1,
,NUSC,2,2,2,1,,7,,,,,,,,7,
,NUTR,,,,,,,,,,,,,,,
,PLBR,,,,,,,,,,,,,,,
,PLPA,,,,,,,,1,1,,,,,1,
