Black Only + 2 or more/1 Black (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,,
Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Agriculture,ABME,,,,,,,,,,,,,,,
,ADEV,,,,,,,,,,,,,,,
,AGBL,,1,1,,,2,,,,,,,,2,
,AGBU,,,,2,,2,,,,,,,,2,
,AGCJ,,,4,4,,8,,,,,,,,8,
,AGEC,1,,,3,,4,,,,2,2,,,6,
,AGLS,2,1,2,1,,6,,,,,,,,6,
,AGRO,,,,2,,2,,,,,,,,2,
,AGSC,,,,1,,1,,,,,,,,1,
,AGSM,,,,1,,1,,,,,,,,1,
,ALEC,,,,,,,2,2,4,7,7,,,11,
,ALED,9,,19,17,1,46,,,,,,,,46,
,ANBR,,,,,,,,1,1,,,,,1,
,ANSC,,1,2,2,,5,,1,1,1,1,,,7,
,BAEN,,1,1,3,,5,,,,4,4,,,9,
,BESC,,3,1,5,,9,,,,,,,,9,
,BICH,6,2,1,6,,15,,,,2,2,,,17,
,BIOT,,,,,,,,,,,,,,,
,CDEV,,,1,,,1,,,,,,,,1,
,DASC,,,,,,,,,,,,,,,
,ECOR,,,,,,,,,,,,,,,
,ENST,,,,,,,,,,,,,,,
,ENTO,,,,,,,,,,1,1,,,1,
,FISC,,,,,,,,,,,,,,,
,FIVL,7,3,,,,10,,,,,,,,10,
,FIVS,,,,1,,1,,,,,,,,1,
,FLOR,,,,,,,,,,,,,,,
,FORS,,,,,,,,,,1,1,,,1,
,FSTC,,,2,2,,4,,1,1,,,,,5,
,GENE,2,2,,1,,5,,,,,,,,5,
,HORT,,,,1,,1,,,,,,,,1,
,MEPS,,,,,,,,,,1,1,,,1,
,NRDV,,,,,,,,1,1,,,,,1,
,NUSC,2,2,2,1,,7,,,,,,,,7,
,NUTR,,,,,,,,,,1,1,,,1,
,PLBR,,,,,,,,1,1,,,,,1,
,PLPA,,,,,,,,,,1,1,,,1,
