Fall 201,1,White Only (NEW),American Indian Only (NEW),Asian Only (NEW),"Black Only
+ 2 or more/1 Black (NEW)",Hispanic or Latino of any Race (NEW),Native Hawaii Only (New),2 or More/Excl uding Black (NEW),Internatio nal,Unknown or Not Reported,Total
Business Admin,ACCT,639,,48,22,78,1,8,22,2,820
,AGBU,6,,,,,,,,,6
,BHNR,103,1,6,3,9,,1,1,,124
,BUAD,"1,287",,104,53,221,2,24,40,5,"1,736"
,BUAG,10,,,,,,,,,10
,EMBA,70,,6,7,16,,,3,3,105
,FINC,513,3,30,11,62,,7,16,2,644
,INFO,285,1,28,13,65,1,6,11,1,411
,MGMT,240,1,14,15,29,,5,9,5,318
,MISY,46,,5,,4,,,114,,169
,MKTG,371,,13,11,47,,7,16,,465
,MLER,48,,1,,5,,,1,,55
,USBU,121,,4,5,14,,6,1,,151
,Subtotal,"3,739",6,259,140,550,4,64,234,18,"5,014"
Education,BIED,4,,,,10,,,4,,18
,CPSY,13,,3,7,14,,2,2,,41
,EDAD,136,2,6,42,51,,1,1,1,240
,EDCI,217,2,6,56,37,,7,62,2,389
,EDHL,345,,14,18,89,,10,1,,477
,EDIS,629,,4,19,106,,9,2,,769
,EDKI,450,1,17,18,110,1,20,2,,619
,EDSM,155,1,1,19,30,,5,2,1,214
,EDTC,13,,1,,3,,1,3,,21
,EHRD,74,,9,23,26,,2,22,,156
,EPSY,57,,3,6,22,,3,38,2,131
,HEED,25,,3,6,12,,1,6,,53
,HLTH,181,2,8,7,25,,2,,,225
,HRDL,77,,5,11,26,,,1,,120
,HRDV,78,,6,3,13,,2,,,102
,INST,688,1,8,10,96,1,12,1,1,818
,KINE,272,4,7,14,47,,2,27,,373
,NUTR,,,1,,,,,1,,2
,PHED,1,,,,,,,,,1
,SPED,19,,1,2,2,,,,,24
,SPMT,169,,2,16,25,,3,3,,218
