Headcount by Major by Level by Entry Status (College Station Campus),,,,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,,,
Fall 2011,,Undergraduate,,,,Masters,,,,PhD,,,,Professional,,Total,
,,1st Time in College,1st Time Transfer,Readmitte d,Continuing,1st Time PB,1st Time Graduate,Readmitte d,Continuing,1st Time Graduate,Readmitte d,Continuing,1st Time Profession al,Readmitte d,Continuing,,
Education,BIED,,,,,,8,,10,,,,,,,18,
,CPSY,,,,,,9,,1,4,,27,,,,41,
,EDAD,,,,,1,42,,35,14,2,146,,,,240,
,EDCI,,,,,11,97,,107,12,1,161,,,,389,
,EDHL,93,19,4,361,,,,,,,,,,,477,
,EDIS,184,116,10,459,,,,,,,,,,,769,
,EDKI,191,38,2,388,,,,,,,,,,,619,
,EDSM,48,16,7,143,,,,,,,,,,,214,
,EDTC,,,,,,,1,20,,,,,,,21,
,EHRD,,,,,,26,,49,12,,69,,,,156,
,EPSY,,,,,,15,2,30,15,,69,,,,131,
,HEED,,,,,,19,,13,5,1,15,,,,53,
,HLTH,,,2,223,,,,,,,,,,,225,
,HRDL,9,17,6,88,,,,,,,,,,,120,
,HRDV,,1,,101,,,,,,,,,,,102,
,INST,5,2,2,809,,,,,,,,,,,818,
,KINE,,,1,268,,26,2,23,10,1,42,,,,373,
,NUTR,,,,,,,,2,,,,,,,2,
,PHED,,,,,,,,1,,,,,,,1,
,SPED,,,,,,7,1,16,,,,,,,24,
,SPMT,,,4,165,,27,,22,,,,,,,218,
,SPSY,,,,,,4,,,8,,27,,,,39,
,TCMG,,,,33,,,,,,,,,,,33,
,TCML,6,5,5,44,,,,,,,,,,,60,
,TECR,,,,9,,,,,,,,,,,9,
,USEH,,,,2,,,,,,,,,,,2,
,Subtotal,536,214,43,"3,093",12,280,6,329,80,5,556,,,,"5,154",
