College  Architecture,,,,,,,,,,,,
Texas A&M University Student Enrollment Summary,,,,,,,,,,,,
Student Head Count by Level by College (College Station Campus) Fall 2011,,,,,,,,,,,,
Fall 2011,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total,"1,378",100.0%,368,100.0%,109,100.0%,,,"1,855",100.0%,
Female,,445,32.3%,156,42.4%,41,37.6%,,,642,34.6%,
Male,,933,67.7%,212,57.6%,68,62.4%,,,"1,213",65.4%,
Ethnicity,White Only (NEW),"1,016",73.7%,183,49.7%,16,14.7%,,,"1,215",65.5%,
American Indian Only (NEW),,6,.4%,1,.3%,1,.9%,,,8,.4%,
Asian Only (NEW),,30,2.2%,11,3.0%,5,4.6%,,,46,2.5%,
Black Only + 2 or more/1 Black,,25,1.8%,4,1.1%,2,1.8%,,,31,1.7%,
Hispanic or Latino of any Race,,269,19.5%,29,7.9%,4,3.7%,,,302,16.3%,
Native Hawaii Only (New),,1,.1%,,,,,,,1,.1%,
2 or More/Excluding Black (NEW),,24,1.7%,4,1.1%,,,,,28,1.5%,
International,,6,.4%,132,35.9%,81,74.3%,,,219,11.8%,
Unknown or Not Reported,,1,.1%,4,1.1%,,,,,5,.3%,
TAMU Age Categories,<18,2,.1%,,,,,,,2,.1%,
18-21,,913,66.3%,4,1.1%,,,,,917,49.4%,
22-25,,426,30.9%,214,58.2%,1,.9%,,,641,34.6%,
26-30,,23,1.7%,99,26.9%,32,29.4%,,,154,8.3%,
31-39,,12,.9%,36,9.8%,61,56.0%,,,109,5.9%,
40+,,2,.1%,15,4.1%,15,13.8%,,,32,1.7%,
Enrollment Status,1st Time in College,187,13.6%,,,,,,,187,10.1%,
1st Time PB,,,,1,.3%,,,,,1,.1%,
1st Time Graduate,,,,142,38.6%,12,11.0%,,,154,8.3%,
1st Time Professional,,,,,,,,,,,,
1st Time Transfer,,55,4.0%,,,,,,,55,3.0%,
Readmitted,,9,.7%,2,.5%,,,,,11,.6%,
Continuing,,"1,127",81.8%,223,60.6%,97,89.0%,,,"1,447",78.0%,
Tuition Status,Resident Tuition,"1,298",94.2%,192,52.2%,16,14.7%,,,"1,506",81.2%,
Non-Resident Tuition,,17,1.2%,78,21.2%,21,19.3%,,,116,6.3%,
Tuition Exemption/Waiver,,63,4.6%,98,26.6%,72,66.1%,,,233,12.6%,
Residency Status,Texas Resident,"1,339",97.2%,199,54.1%,22,20.2%,,,"1,560",84.1%,
"Non-TX, US Resident",,33,2.4%,36,9.8%,6,5.5%,,,75,4.0%,
"Non-TX, Non-US Resident",,6,.4%,133,36.1%,81,74.3%,,,220,11.9%,
SCH Categories,< 6 SCH,7,.5%,44,12.0%,17,15.6%,,,68,3.7%,
6-8 SCH,,110,8.0%,9,2.4%,1,.9%,,,120,6.5%,
9-11 SCH,,70,5.1%,98,26.6%,84,77.1%,,,252,13.6%,
12-14 SCH,,722,52.4%,159,43.2%,6,5.5%,,,887,47.8%,
15-17 SCH,,439,31.9%,58,15.8%,1,.9%,,,498,26.8%,
>17 SCH,,30,2.2%,,,,,,,30,1.6%,
Ft/Pt: TAMU Status,Less Than Half Time,8,.6%,40,10.9%,16,14.7%,,,64,3.5%,
Half-Time,,178,12.9%,12,3.3%,2,1.8%,,,192,10.4%,
Full-Time,,"1,192",86.5%,316,85.9%,91,83.5%,,,"1,599",86.2%,
Top 10% Texas High,No,822,59.7%,344,93.5%,108,99.1%,,,"1,274",68.7%,
School,Yes,556,40.3%,24,6.5%,1,.9%,,,581,31.3%,
First Generation,No,951,69.0%,203,55.2%,65,59.6%,,,"1,219",65.7%,
Unknown,,34,2.5%,99,26.9%,21,19.3%,,,154,8.3%,
Yes,,393,28.5%,66,17.9%,23,21.1%,,,482,26.0%,
"Prepared by DARS, 1/6/2012",,,,,,,,,,,,
Page 4,,,,,,,,,,,,
