American Indian Only (NEW),,,,,,,,,,,,,,,,
Headcount by Department by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,,
Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Agriculture,AGEC,1,,,2,,3,,,,,,,,3,
,ALEC,,1,2,3,,6,,,,,,,,6,
,ANSC,1,1,2,2,,6,,,,,,,,6,
,BAEN,,,,1,,1,,,,,,,,1,
,BCBP,,,1,,,1,,1,1,,,,,2,
,CLAG,,,,,,,,,,,,,,,
,ENTO,1,,,2,,3,,,,,,,,3,
,ESSM,,,1,1,,2,,,,,,,,2,
,HRSC,,,1,2,,3,,,,,,,,3,
,NFSC,,,,,,,,,,,,,,,
,PLPM,,,1,1,,2,,,,,,,,2,
,POSC,,1,,1,,2,,,,,,,,2,
,RPTS,,1,,,,1,,,,,,,,1,
,SCSC,,,,1,,1,,,,,,,,1,
,WFSC,,,,,,,,2,2,,,,,2,
,Subtotal,3,4,8,16,,31,,3,3,,,,,34,
Architecture,ARCH,,,,,,,,1,1,1,1,,,2,
,CLAR,,,,,,,,,,,,,,,
,COSC,,1,,4,,5,,,,,,,,5,
,LAUP,,,,,,,,,,,,,,,
,VIZA,,,,1,,1,,,,,,,,1,
,Subtotal,,1,,5,,6,,1,1,1,1,,,8,
Business Admin,ACCT,,,,,,,,,,,,,,,
,CLBA,,,1,,,1,,,,,,,,1,
,FINC,,,1,1,,2,,1,1,,,,,3,
,INFO,,,1,,,1,,,,,,,,1,
,MGMT,,,1,,,1,,,,,,,,1,
,MKTG,,,,,,,,,,,,,,,
,Subtotal,,,4,1,,5,,1,1,,,,,6,
"Education
Engineering",CLED,,,,,,,,,,,,,,,
,EAHR,,,,,,,,,,2,2,,,2,
,EPSY,,,,,,,,,,,,,,,
,HLKN,,1,1,6,,8,,,,,,,,8,
,TLAC,,,,1,,1,,1,1,1,1,,,3,
,Subtotal,,1,1,7,,9,,1,1,3,3,,,13,
,AERO,1,1,,1,,3,,,,,,,,3,
,BMEN,1,,,,,1,,,,,,,,1,
,CHEN,,,1,1,,2,,,,,,,,2,
,CLEN,,,,,,,,,,,,,,,
,CSCE,2,1,,2,,5,,,,,,,,5,
