Fall 2011,,White Only (NEW),,American Indian Only (NEW),,Asian Only (NEW),,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,International,,Unknown or Not Reported,,Total,,Total
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,
Agriculture,ABME,,1,,,,,,,,,,,,,1,,,,1,1,2
,ADEV,11,7,,,,,,,,2,,,,1,,1,,,11,11,22
,AGBL,50,74,1,,,,1,1,3,12,,,2,2,,,,2,57,91,148
,AGBU,52,95,,,2,2,,2,6,8,,,,3,18,8,,,78,118,196
,AGCJ,168,42,3,,2,,7,1,14,9,,,3,2,2,1,,,199,55,254
,AGEC,96,280,2,,1,4,2,4,15,27,,,2,5,25,50,,,143,370,513
,AGLS,23,34,,,,,2,4,4,5,,,,,,,,,29,43,72
,AGRO,21,117,,1,,1,2,,7,11,,,,3,2,3,,,32,136,168
,AGSC,81,34,,1,,,,1,7,5,,,,1,,,,,88,42,130
,AGSM,7,105,,,,,,1,1,18,,,,1,,2,,,8,127,135
,ALEC,72,48,,,,1,5,6,2,4,,,,,4,,,1,83,60,143
,ALED,136,211,,2,,1,8,38,25,27,,,2,3,,1,,,171,283,454
,ANBR,8,1,,,,,1,,,,,,,,1,1,,,10,2,12
,ANSC,516,210,6,,7,1,4,3,90,43,,,10,4,2,4,2,,637,265,902
,BAEN,35,132,,1,4,8,4,5,10,21,,,2,4,17,34,,1,72,206,278
,BESC,68,58,1,1,7,9,4,5,41,21,,1,4,1,2,,,,127,96,223
,BICH,60,83,,2,24,34,12,5,15,19,,,5,2,20,37,1,1,137,183,320
,BIOT,,2,,,,1,,,,,,,,,4,2,,,4,5,9
,CDEV,14,8,,,1,,1,,3,4,,,,,,,,,19,12,31
,DASC,2,,,,,,,,,,,,,,,,,,2,,2
,ECOR,4,8,,,,,,,1,3,,,,,,,,,5,11,16
,ENST,12,13,,,,,,,4,1,,,,,,,,,16,14,30
,ENTO,36,32,,2,1,3,,1,22,14,,,2,2,7,7,1,,69,61,130
,FISC,,2,,,,,,,,1,,,,,,,,,,3,3
,FIVL,33,10,1,,,,10,,23,5,,,3,,,,,,70,15,85
,FIVS,9,8,,,1,2,,1,4,1,,,1,,,,,,15,12,27
,FLOR,1,,,,,,,,1,,,,,,,,,,2,,2
,FORS,7,16,,,1,1,1,,1,2,,,,,4,4,,,14,23,37
,FSTC,63,31,,,3,5,3,2,19,7,,,4,1,10,8,,,102,54,156
,GENE,57,34,,,7,3,3,2,9,4,,,2,2,4,6,2,,84,51,135
,HORT,113,42,1,2,2,,,1,18,11,,,2,,10,5,,,146,61,207
,MEPS,2,3,,,,1,,1,1,1,,,,,7,9,,,10,15,25
,NRDV,13,16,,,,,1,,2,2,,,1,,,,,,17,18,35
,NUSC,262,38,,,21,8,7,,60,14,1,,6,1,4,1,1,,362,62,424
,NUTR,16,5,,,1,1,1,,1,,,,,,13,4,,,32,10,42
,PLBR,7,19,,,,,,1,,2,,,,,8,10,,,15,32,47
,PLPA,4,3,,,,,1,,4,5,,,1,,4,9,,1,14,18,32
,POSC,49,71,1,1,1,,4,3,14,15,,,2,,5,6,,,76,96,172
,PPRO,,1,,,,,,,,,,,,,,,,,,1,1
,PREP,5,2,,,,,1,,2,1,,1,,,2,,,,10,4,14
,PSSC,2,2,,,,,,,,,,,,1,,,,,2,3,5
,RENR,9,34,,2,,,,2,4,3,,,,,,,,1,13,42,55
,RLEM,24,57,,,1,,1,,9,10,,,,3,6,2,,,41,72,113
,RPTS,193,141,1,,3,4,6,9,22,20,1,,,4,23,9,,,249,187,436
,RRDV,,1,,,,,,,,,,,,,,,,,,1,1
,SOSC,8,11,,,,2,,2,1,,,,,,3,1,,,12,16,28
,SPSA,3,21,,,,1,,,,6,,,,2,,,,,3,30,33
,TOXI,1,,,,,,,,,,,,,,1,,,,2,,2
,USAL,38,61,,,,1,3,7,6,11,,,,2,,,,,47,82,129
,WFSC,179,173,1,1,2,1,10,1,75,46,,,4,4,12,8,2,,285,234,519
,WISC,7,6,,,,,,,1,1,,,,,,,,,8,7,15
,WMHS,3,8,,,,,,,,,,,,1,2,,,,5,9,14
,Subtotal,"2,580","2,411",18,16,92,95,105,109,547,422,2,2,58,55,223,233,9,7,"3,634","3,350","6,984"
