Fall 2011,,White Only (NEW),,,American Indian Only (NEW),,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,199,143,342,,,5,6,11,2,7,9,42,43,85,1,,1,3,3,6,9,9,18,,1,1,261,212,473,
"TAMU Age Categories
Classification
Tuition Status
Residency Status
SCH Categories
Ft/Pt: TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",<18,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,18-21,176,117,293,,,3,4,7,2,5,7,37,39,76,,,,3,3,6,6,6,12,,1,1,227,175,402,
,22-25,13,18,31,,,1,2,3,,2,2,3,3,6,1,,1,,,,3,3,6,,,,21,28,49,
,26-30,3,5,8,,,,,,,,,1,,1,,,,,,,,,,,,,4,5,9,
,31-39,2,2,4,,,1,,1,,,,,1,1,,,,,,,,,,,,,3,3,6,
,40+,4,1,5,,,,,,,,,1,,1,,,,,,,,,,,,,5,1,6,
,Freshman,21,9,30,,,,1,1,,1,1,3,4,7,,,,,,,,1,1,,,,24,16,40,
,Sophomore,105,99,204,,,2,4,6,2,2,4,26,29,55,1,,1,3,2,5,3,4,7,,1,1,142,141,283,
,Junior,69,34,103,,,3,1,4,,3,3,12,10,22,,,,,1,1,5,4,9,,,,89,53,142,
,Senior,4,1,5,,,,,,,1,1,1,,1,,,,,,,1,,1,,,,6,2,8,
,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resident Tuition,188,131,319,,,5,5,10,2,7,9,37,41,78,1,,1,3,3,6,,,,,1,1,236,188,424,
,Non-Resident  Tuition,4,3,7,,,,1,1,,,,1,1,2,,,,,,,5,5,10,,,,10,10,20,
,Tuition,7,9,16,,,,,,,,,4,1,5,,,,,,,4,4,8,,,,15,14,29,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,194,136,330,,,5,6,11,2,7,9,41,41,82,1,,1,3,3,6,,,,,1,1,246,194,440,
,"Non-TX, US Resident",5,7,12,,,,,,,,,,2,2,,,,,,,,,,,,,5,9,14,
,"Non-TX, Non-US",,,,,,,,,,,,1,,1,,,,,,,9,9,18,,,,10,9,19,
,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,< 6 SCH,,1,1,,,,,,,1,1,1,,1,,,,,,,,,,,,,1,2,3,
,6-8 SCH,5,,5,,,,,,,,,,,,,,,,,,,,,,,,5,,5,
,9-11 SCH,7,6,13,,,,1,1,,,,1,,1,,,,,,,,,,,,,8,7,15,
,12-14 SCH,91,58,149,,,5,4,9,,2,2,24,30,54,1,,1,2,2,4,6,3,9,,,,129,99,228,
,15-17 SCH,95,76,171,,,,1,1,2,4,6,16,13,29,,,,1,1,2,3,5,8,,1,1,117,101,218,
,>17 SCH,1,2,3,,,,,,,,,,,,,,,,,,,1,1,,,,1,3,4,
,Less Than Half Time,,1,1,,,,,,,1,1,1,,1,,,,,,,,,,,,,1,2,3,
,Half-Time,13,6,19,,,,1,1,,,,1,1,2,,,,,,,,,,,,,14,8,22,
,Full-Time,186,136,322,,,5,5,10,2,6,8,40,42,82,1,,1,3,3,6,9,9,18,,1,1,246,202,448,
,No,178,134,312,,,5,6,11,2,6,8,37,42,79,1,,1,3,3,6,8,9,17,,1,1,234,201,435,
,Yes,21,9,30,,,,,,,1,1,5,1,6,,,,,,,1,,1,,,,27,11,38,
,No,141,104,245,,,,3,3,1,3,4,23,26,49,,,,1,2,3,,,,,,,166,138,304,
,Unknown,3,2,5,,,,,,,,,2,1,3,,,,,1,1,9,9,18,,1,1,14,14,28,
,Yes,55,37,92,,,5,3,8,1,4,5,17,16,33,1,,1,2,,2,,,,,,,81,60,141,
,Off-campus,189,130,319,,,5,4,9,1,5,6,39,38,77,1,,1,3,3,6,9,9,18,,1,1,247,190,437,
,Dorm  (On-campus),10,13,23,,,,2,2,1,2,3,3,5,8,,,,,,,,,,,,,14,22,36,
"Prepared by DARS, 09 Jan 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
