Black Only + 2 or more/1 Black (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,,
Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Agriculture,POSC,,,1,4,,5,,,,2,2,,,7,
,PPRO,,,,,,,,,,,,,,,
,PREP,,,,,,,,,,1,1,,,1,
,PSSC,,,,,,,,,,,,,,,
,RENR,1,,,1,,2,,,,,,,,2,
,RLEM,,,,,,,,,,1,1,,,1,
,RPTS,,2,6,,2,10,,,,5,5,,,15,
,RRDV,,,,,,,,,,,,,,,
,SOSC,,,,,,,,,,2,2,,,2,
,SPSA,,,,,,,,,,,,,,,
,TOXI,,,,,,,,,,,,,,,
,USAL,,,2,8,,10,,,,,,,,10,
,WFSC,,1,3,3,,7,,3,3,1,1,,,11,
,WISC,,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,,,,,,
,Subtotal,30,19,48,69,3,169,2,10,12,33,33,,,214,
Architecture,ARCH,,,,,,,,2,2,,,,,2,
,COMG,,,,,,,,1,1,,,,,1,
,COSC,,,3,3,,6,,,,,,,,6,
,COSL,1,,4,,,5,,,,,,,,5,
,ENDL,2,,1,,,3,,,,,,,,3,
,ENDS,,,1,2,,3,,,,,,,,3,
,LAND,,,,,,,,,,,,,,,
,LANL,1,,,,,1,,,,,,,,1,
,LDEV,,,,,,,,1,1,,,,,1,
,NUTR,,,,,,,,,,,,,,,
,URPL,,,,,,,,,,,,,,,
,URSC,1,1,1,1,,4,,,,2,2,,,6,
,USAR,,,,1,,1,,,,,,,,1,
,VISL,,1,,,,1,,,,,,,,1,
,VIST,,,,1,,1,,,,,,,,1,
,Subtotal,5,2,10,8,,25,,4,4,2,2,,,31,
