American Indian Only (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,,
Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Agriculture,ABME,,,,,,,,,,,,,,,
,ADEV,,,,,,,,,,,,,,,
,AGBL,1,,,,,1,,,,,,,,1,
,AGBU,,,,,,,,,,,,,,,
,AGCJ,,1,1,1,,3,,,,,,,,3,
,AGEC,,,,2,,2,,,,,,,,2,
,AGLS,,,,,,,,,,,,,,,
,AGRO,,,,1,,1,,,,,,,,1,
,AGSC,,,,1,,1,,,,,,,,1,
,AGSM,,,,,,,,,,,,,,,
,ALEC,,,,,,,,,,,,,,,
,ALED,,,1,1,,2,,,,,,,,2,
,ANBR,,,,,,,,,,,,,,,
,ANSC,1,1,2,2,,6,,,,,,,,6,
,BAEN,,,,1,,1,,,,,,,,1,
,BESC,,,1,1,,2,,,,,,,,2,
,BICH,,,1,,,1,,1,1,,,,,2,
,BIOT,,,,,,,,,,,,,,,
,CDEV,,,,,,,,,,,,,,,
,DASC,,,,,,,,,,,,,,,
,ECOR,,,,,,,,,,,,,,,
,ENST,,,,,,,,,,,,,,,
,ENTO,,,,2,,2,,,,,,,,2,
,FISC,,,,,,,,,,,,,,,
,FIVL,1,,,,,1,,,,,,,,1,
,FIVS,,,,,,,,,,,,,,,
,FLOR,,,,,,,,,,,,,,,
,FORS,,,,,,,,,,,,,,,
,FSTC,,,,,,,,,,,,,,,
,GENE,,,,,,,,,,,,,,,
,HORT,,,1,2,,3,,,,,,,,3,
,MEPS,,,,,,,,,,,,,,,
,NRDV,,,,,,,,,,,,,,,
,NUSC,,,,,,,,,,,,,,,
,NUTR,,,,,,,,,,,,,,,
,PLBR,,,,,,,,,,,,,,,
,PLPA,,,,,,,,,,,,,,,
