Native Hawaii Only (New),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,,
Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Education,TCML,,,,,,,,,,,,,,,
,TECR,,,,,,,,,,,,,,,
,USEH,,,,,,,,,,,,,,,
,Subtotal,,,1,1,,2,,,,,,,,2,
Engineering,AERL,,,,,,,,,,,,,,,
,AERO,,,,,,,,,,,,,,,
,BIOT,,,,,,,,,,,,,,,
,BMEL,,,,,,,,,,,,,,,
,BMEN,,,,,,,,,,,,,,,
,CECL,1,,,,,1,,,,,,,,1,
,CECN,,,,,,,,,,,,,,,
,CEEL,,,,,,,,,,,,,,,
,CEEN,,,,1,,1,,,,,,,,1,
,CHEL,,,,,,,,,,,,,,,
,CHEN,,1,,,,1,,,,,,,,1,
,CPSC,,,,,,,,,,1,1,,,1,
,CPSL,,,,,,,,,,,,,,,
,CVEL,,,,,,,,,,,,,,,
,CVEN,,,,1,,1,,,,,,,,1,
,ELEL,,,,,,,,,,,,,,,
,ELEN,,,,2,,2,,,,,,,,2,
,ENGR,,,,,,,,,,,,,,,
,ENSM,,,,,,,,,,,,,,,
,ENTC,,,,,,,,,,,,,,,
,ENTL,,,,,,,,,,,,,,,
,HLPH,,,,,,,,,,,,,,,
,IDIL,,,,,,,,,,,,,,,
,IDIS,,,,,,,,,,,,,,,
,INEL,,1,,,,1,,,,,,,,1,
,INEN,,,1,,,1,,,,,,,,1,
,ITDE,,,,,,,,,,,,,,,
,MEEL,,,,,,,,,,,,,,,
,MEEN,,,1,2,,3,,,,,,,,3,
,MSEN,,,,,,,,,,,,,,,
,NUEL,,,,,,,,,,,,,,,
,NUEN,,,,,,,,,,,,,,,
,OCEL,,,,,,,,,,,,,,,
